target,bin,n,mean_predicted,observed_fraction
class_0,0,234,0.03076192964490258,0.0
class_0,1,50,0.15030184004845532,0.12
class_0,2,20,0.24395984862626702,0.3
class_0,3,18,0.3430928823043608,0.2222222222222222
class_0,4,24,0.4427222266699386,0.4583333333333333
class_0,5,10,0.531933659180284,0.4
class_0,6,11,0.6511233033525538,0.2727272727272727
class_0,7,11,0.7582568956652217,0.45454545454545453
class_0,8,13,0.8383901342977903,0.5384615384615384
class_0,9,9,0.9217708316510104,0.5555555555555556
class_1,0,88,0.05985684220903397,0.056818181818181816
class_1,1,76,0.14986024847004137,0.10526315789473684
class_1,2,63,0.24567925181875386,0.25396825396825395
class_1,3,51,0.3500256534487761,0.45098039215686275
class_1,4,76,0.4519461562362918,0.5131578947368421
class_1,5,46,0.5248525740755077,0.5652173913043478
class_2,0,65,0.042680214775583626,0.015384615384615385
class_2,1,49,0.14305350362590719,0.16326530612244897
class_2,2,68,0.25347151168247833,0.38235294117647056
class_2,3,77,0.3500159965580382,0.7532467532467533
class_2,4,121,0.4456968611306462,0.7520661157024794
class_2,5,20,0.511022645413869,0.7
class_3,0,169,0.03170914680284749,0.023668639053254437
class_3,1,50,0.1491269343648744,0.04
class_3,2,47,0.25360372409002824,0.0851063829787234
class_3,3,30,0.34418652681310125,0.1
class_3,4,28,0.4528724582371262,0.14285714285714285
class_3,5,26,0.5548283171340752,0.038461538461538464
class_3,6,29,0.6466225998596125,0.3103448275862069
class_3,7,15,0.7387086799209025,0.4666666666666667
class_3,8,5,0.8163560540070105,0.0
class_3,9,1,0.910380106842628,0.0
high_or_urgent,0,58,0.042431003799609776,0.0
high_or_urgent,1,40,0.14487371957180203,0.05
high_or_urgent,2,25,0.2549204983535418,0.24
high_or_urgent,3,27,0.33827659508850083,0.2962962962962963
high_or_urgent,4,22,0.44810342888710814,0.5909090909090909
high_or_urgent,5,27,0.5502228227262441,0.48148148148148145
high_or_urgent,6,30,0.653021320528534,0.8333333333333334
high_or_urgent,7,48,0.7497724323951585,0.8958333333333334
high_or_urgent,8,51,0.8529228623117842,0.9803921568627451
high_or_urgent,9,72,0.9382830021876818,1.0
