target,bin,n,mean_predicted,observed_fraction
class_0,0,218,0.026407235348124225,0.0
class_0,1,50,0.14408138417757535,0.06
class_0,2,33,0.25472064558233065,0.12121212121212122
class_0,3,21,0.35973802697865165,0.47619047619047616
class_0,4,37,0.45117150741803175,0.4864864864864865
class_0,5,26,0.5506528706545752,0.3076923076923077
class_0,6,13,0.6319959482215715,0.6153846153846154
class_0,7,1,0.7264093186140862,0.0
class_0,8,1,0.8267596749965909,0.0
class_1,0,108,0.04972071126290841,0.0
class_1,1,48,0.15043745675180198,0.10416666666666667
class_1,2,41,0.2440620969396011,0.1951219512195122
class_1,3,77,0.35709427242307806,0.44155844155844154
class_1,4,88,0.44401109711385833,0.5568181818181818
class_1,5,34,0.5377445671109532,0.5588235294117647
class_1,6,4,0.6160888892944055,0.5
class_2,0,81,0.04606796459273223,0.0
class_2,1,39,0.1460750918590606,0.1282051282051282
class_2,2,33,0.25244943387105945,0.21212121212121213
class_2,3,41,0.36328275157479967,0.4146341463414634
class_2,4,55,0.447345327994084,0.7636363636363637
class_2,5,77,0.5500005826836095,0.8441558441558441
class_2,6,47,0.6496298166375888,0.851063829787234
class_2,7,22,0.7390879806601748,0.8181818181818182
class_2,8,5,0.8567234134728381,0.8
class_3,0,164,0.04152595274639935,0.03048780487804878
class_3,1,93,0.13789182092468527,0.07526881720430108
class_3,2,57,0.24572901874691,0.10526315789473684
class_3,3,41,0.3458356963419931,0.0975609756097561
class_3,4,30,0.444495532364522,0.2
class_3,5,12,0.5530741456546479,0.3333333333333333
class_3,6,3,0.6364436983825238,0.6666666666666666
high_or_urgent,0,59,0.051462171948570896,0.0
high_or_urgent,1,40,0.13961821171206848,0.05
high_or_urgent,2,27,0.2485647514743821,0.25925925925925924
high_or_urgent,3,22,0.3480475802039687,0.18181818181818182
high_or_urgent,4,28,0.4552917341799997,0.5
high_or_urgent,5,25,0.5480561796791757,0.68
high_or_urgent,6,22,0.6566364320195692,0.8181818181818182
high_or_urgent,7,38,0.7531006269469456,0.868421052631579
high_or_urgent,8,41,0.8555189894672711,0.9512195121951219
high_or_urgent,9,98,0.947001848904056,1.0
