target,bin,n,mean_predicted,observed_fraction
class_0,0,292,0.014730537654643758,0.030821917808219176
class_0,1,32,0.1460067992253852,0.34375
class_0,2,15,0.25614927469353255,0.4
class_0,3,18,0.3515631794132944,0.2222222222222222
class_0,4,16,0.44696710292089425,0.5
class_0,5,12,0.5377682222376825,0.4166666666666667
class_0,6,4,0.6419466835239871,0.75
class_0,7,7,0.7359472699091664,0.42857142857142855
class_0,8,2,0.8593305401248257,0.5
class_0,9,2,0.9472427085830137,0.5
class_1,0,179,0.02540557867451119,0.055865921787709494
class_1,1,26,0.1379463845563976,0.11538461538461539
class_1,2,21,0.24669535356306976,0.2857142857142857
class_1,3,23,0.34910336028520006,0.391304347826087
class_1,4,25,0.4505253542697658,0.68
class_1,5,28,0.5484943370238424,0.6428571428571429
class_1,6,31,0.6478434270446721,0.6129032258064516
class_1,7,28,0.7547153164597447,0.6071428571428571
class_1,8,30,0.8427605175832135,0.4666666666666667
class_1,9,9,0.9375910610273643,0.4444444444444444
class_2,0,109,0.02855008591195765,0.03669724770642202
class_2,1,27,0.14687449708794925,0.14814814814814814
class_2,2,18,0.24666648696228302,0.2777777777777778
class_2,3,12,0.35430471604042646,0.4166666666666667
class_2,4,12,0.4294618654005719,0.25
class_2,5,18,0.5528116874369231,0.5555555555555556
class_2,6,26,0.6641156968368155,0.6923076923076923
class_2,7,31,0.7623694700579049,0.8709677419354839
class_2,8,52,0.8640415243611692,0.7884615384615384
class_2,9,95,0.9499591588211445,0.8526315789473684
class_3,0,331,0.02320999066910813,0.0634441087613293
class_3,1,33,0.14100112077845178,0.12121212121212122
class_3,2,15,0.24661567361462153,0.13333333333333333
class_3,3,8,0.3363816484568134,0.125
class_3,4,4,0.4510502785290471,0.25
class_3,5,5,0.5588412509267471,0.6
class_3,6,2,0.629269193794713,1.0
class_3,7,2,0.7422334956763782,0.0
high_or_urgent,0,104,0.03426338953229242,0.04807692307692308
high_or_urgent,1,25,0.1479851996228641,0.2
high_or_urgent,2,16,0.24353803550608027,0.1875
high_or_urgent,3,11,0.3510223579743098,0.36363636363636365
high_or_urgent,4,9,0.4478243504733186,0.2222222222222222
high_or_urgent,5,13,0.5670779308234264,0.46153846153846156
high_or_urgent,6,10,0.6551658397882305,0.7
high_or_urgent,7,15,0.7574804464079227,0.9333333333333333
high_or_urgent,8,27,0.8650857707140446,0.8148148148148148
high_or_urgent,9,170,0.9724874865725743,0.9647058823529412
