target,bin,n,mean_predicted,observed_fraction
class_0,0,295,0.008841684849223675,0.003389830508474576
class_0,1,16,0.14797339731203987,0.0625
class_0,2,11,0.23821834557221544,0.2727272727272727
class_0,3,14,0.3508108016798626,0.14285714285714285
class_0,4,5,0.4651183902219261,0.0
class_0,5,7,0.5333792406048234,0.42857142857142855
class_0,6,13,0.65459227626679,0.5384615384615384
class_0,7,5,0.7722904799691991,0.6
class_0,8,13,0.8565948206628076,0.8461538461538461
class_0,9,21,0.9726708097123625,0.9523809523809523
class_1,0,188,0.016390249690655747,0.010638297872340425
class_1,1,30,0.1473385543108377,0.13333333333333333
class_1,2,22,0.2406279814853444,0.18181818181818182
class_1,3,23,0.3447010686693133,0.30434782608695654
class_1,4,17,0.4595579954796904,0.47058823529411764
class_1,5,16,0.5539124731689598,0.6875
class_1,6,23,0.6560033846026044,0.6956521739130435
class_1,7,27,0.7585471539557974,0.7777777777777778
class_1,8,54,0.8537776224558618,0.8148148148148148
class_2,0,158,0.01602529211230609,0.0379746835443038
class_2,1,25,0.13687764492694002,0.28
class_2,2,13,0.24485280606880225,0.38461538461538464
class_2,3,12,0.3380867105356218,0.5
class_2,4,14,0.45222912145404903,0.5714285714285714
class_2,5,11,0.5469889081279713,0.7272727272727273
class_2,6,15,0.6602497850097848,0.8666666666666667
class_2,7,18,0.7558733719196103,0.8888888888888888
class_2,8,23,0.8465221957758642,0.9130434782608695
class_2,9,111,0.9689247855205827,0.972972972972973
class_3,0,345,0.002988256227433482,0.005797101449275362
class_3,1,5,0.16902594126482268,0.0
class_3,2,2,0.25314420320386927,0.0
class_3,3,5,0.3398542294214705,0.2
class_3,4,2,0.4831184929852021,0.0
class_3,5,3,0.5263484825801164,0.0
class_3,6,3,0.6452670669181809,0.6666666666666666
class_3,7,2,0.7670122776359738,0.5
class_3,8,4,0.8738291898704127,0.5
class_3,9,29,0.9918766790069943,0.896551724137931
high_or_urgent,0,129,0.017802068953435786,0.023255813953488372
high_or_urgent,1,21,0.1389205520059253,0.23809523809523808
high_or_urgent,2,11,0.2470168245306905,0.36363636363636365
high_or_urgent,3,9,0.33254968246009015,0.5555555555555556
high_or_urgent,4,11,0.4464025605431263,0.45454545454545453
high_or_urgent,5,9,0.553701865541027,0.6666666666666666
high_or_urgent,6,10,0.6603528238969232,0.9
high_or_urgent,7,16,0.757064951840836,0.875
high_or_urgent,8,18,0.8509762791936561,0.8888888888888888
high_or_urgent,9,166,0.9854033089591012,0.9939759036144579
