target,bin,n,mean_predicted,observed_fraction
class_0,0,293,0.02328930318981925,0.010238907849829351
class_0,1,32,0.14711306324449058,0.0
class_0,2,16,0.23421728344969578,0.0
class_0,3,9,0.36556220704970094,0.5555555555555556
class_0,4,13,0.4557797282941631,0.5384615384615384
class_0,5,7,0.5247905326516424,1.0
class_0,6,8,0.655324324142377,0.875
class_0,7,13,0.7586807425744712,1.0
class_0,8,7,0.8480216372749236,1.0
class_0,9,2,0.9188721780585067,1.0
class_1,0,120,0.0408322719850112,0.008333333333333333
class_1,1,62,0.15810928034534724,0.016129032258064516
class_1,2,45,0.2497086605243154,0.044444444444444446
class_1,3,44,0.35780122805528525,0.4090909090909091
class_1,4,48,0.44809063186582526,0.5625
class_1,5,26,0.5532689091686556,0.6153846153846154
class_1,6,19,0.6373442947719713,0.8947368421052632
class_1,7,14,0.74411923119402,1.0
class_1,8,18,0.8724695216750484,0.9444444444444444
class_1,9,4,0.9297658727852302,1.0
class_2,0,66,0.044942512239667956,0.0
class_2,1,37,0.14889712928022436,0.02702702702702703
class_2,2,27,0.24418686554822366,0.037037037037037035
class_2,3,37,0.35301059875479895,0.08108108108108109
class_2,4,33,0.4552422230740478,0.3939393939393939
class_2,5,27,0.5471542156599024,0.5555555555555556
class_2,6,31,0.6540366791024536,0.8387096774193549
class_2,7,42,0.7520621361580493,0.9285714285714286
class_2,8,46,0.8497496297961618,1.0
class_2,9,54,0.9379775423197427,1.0
class_3,0,342,0.01663625555506225,0.0
class_3,1,17,0.14823529408941177,0.11764705882352941
class_3,2,6,0.23249999992333328,0.3333333333333333
class_3,3,4,0.3675,0.75
class_3,4,6,0.4683333331699999,1.0
class_3,5,12,0.5524999998220833,0.8333333333333334
class_3,6,6,0.6549332170793146,0.8333333333333334
class_3,7,6,0.762499999375,1.0
class_3,8,1,0.8799999982400001,0.0
high_or_urgent,0,59,0.041373685236932495,0.0
high_or_urgent,1,35,0.14711982287166575,0.0
high_or_urgent,2,21,0.2408593037639066,0.0
high_or_urgent,3,21,0.34951887557686345,0.047619047619047616
high_or_urgent,4,28,0.4452841181970944,0.39285714285714285
high_or_urgent,5,27,0.5478870842864227,0.6296296296296297
high_or_urgent,6,26,0.6588328854976735,0.8461538461538461
high_or_urgent,7,34,0.7657900378479746,0.9705882352941176
high_or_urgent,8,36,0.8565010499887351,1.0
high_or_urgent,9,113,0.9573147462686915,0.9911504424778761
