target,bin,n,mean_predicted,observed_fraction
class_0,0,320,0.013028741353992238,0.015625
class_0,1,18,0.14745642244622806,0.1111111111111111
class_0,2,13,0.2480423597266891,0.15384615384615385
class_0,3,3,0.33175890326053664,0.3333333333333333
class_0,4,2,0.42813337602996204,1.0
class_0,5,5,0.5473897721369235,0.8
class_0,6,6,0.6687864248896752,0.6666666666666666
class_0,7,6,0.7640035948697316,0.8333333333333334
class_0,8,11,0.8503424747963751,1.0
class_0,9,16,0.9417920339195711,0.9375
class_1,0,200,0.024943563070161042,0.02
class_1,1,33,0.15490195842769727,0.15151515151515152
class_1,2,22,0.2530162033441586,0.22727272727272727
class_1,3,16,0.36180550556016233,0.5
class_1,4,16,0.4527285109547287,0.375
class_1,5,13,0.548019892464516,0.6923076923076923
class_1,6,18,0.6445706245967853,0.6666666666666666
class_1,7,15,0.7524196776792628,0.6666666666666666
class_1,8,25,0.8465672381048711,0.8
class_1,9,42,0.9475655895032,0.9047619047619048
class_2,0,125,0.027277862136400124,0.016
class_2,1,23,0.14516693820006524,0.17391304347826086
class_2,2,21,0.24936984756411149,0.14285714285714285
class_2,3,12,0.35414206669121967,0.3333333333333333
class_2,4,17,0.44246365582721425,0.23529411764705882
class_2,5,10,0.5512590152046051,0.6
class_2,6,9,0.6450353541301589,0.5555555555555556
class_2,7,20,0.7576659332829951,0.65
class_2,8,19,0.8550317483908143,0.8947368421052632
class_2,9,144,0.968684481864901,0.9722222222222222
class_3,0,363,0.008590768773228074,0.005509641873278237
class_3,1,2,0.1576998298896486,1.0
class_3,2,2,0.2682773315611725,1.0
class_3,3,3,0.367263386187485,1.0
class_3,4,4,0.43779861074901705,1.0
class_3,5,6,0.5495544772911597,0.8333333333333334
class_3,6,1,0.6304059797869775,1.0
class_3,7,4,0.7207122474955768,0.75
class_3,8,11,0.8459567995991893,0.8181818181818182
class_3,9,4,0.9416023132631577,0.75
high_or_urgent,0,112,0.028189294077025067,0.008928571428571428
high_or_urgent,1,17,0.14240029742565996,0.11764705882352941
high_or_urgent,2,16,0.25191478814383766,0.1875
high_or_urgent,3,11,0.353840079744601,0.36363636363636365
high_or_urgent,4,13,0.4405847984802057,0.3076923076923077
high_or_urgent,5,9,0.5631253820149643,0.7777777777777778
high_or_urgent,6,6,0.6522677374009924,0.8333333333333334
high_or_urgent,7,17,0.7497395457877767,0.7058823529411765
high_or_urgent,8,18,0.8462127307586599,0.8888888888888888
high_or_urgent,9,181,0.9750420078608796,0.9834254143646409
