target,bin,n,mean_predicted,observed_fraction
class_0,0,279,0.009577848615863903,0.007168458781362007
class_0,1,30,0.1473797023258058,0.13333333333333333
class_0,2,13,0.2566904349854433,0.15384615384615385
class_0,3,11,0.35590190849623005,0.09090909090909091
class_0,4,7,0.4158672003281607,0.42857142857142855
class_0,5,8,0.5484147394513496,0.375
class_0,6,11,0.6495607580309364,0.5454545454545454
class_0,7,12,0.7483217763272861,0.6666666666666666
class_0,8,6,0.8553162509628928,0.6666666666666666
class_0,9,23,0.9544846325000462,0.782608695652174
class_1,0,166,0.026086881046238585,0.04216867469879518
class_1,1,39,0.1531554067848934,0.1282051282051282
class_1,2,35,0.24316303867057099,0.14285714285714285
class_1,3,23,0.3425654969878792,0.34782608695652173
class_1,4,20,0.44602411934260494,0.4
class_1,5,21,0.5550923830814838,0.5714285714285714
class_1,6,27,0.6455154965020022,0.7407407407407407
class_1,7,59,0.7646590347925277,0.7627118644067796
class_1,8,10,0.8151018257430056,0.7
class_2,0,146,0.02290372382594009,0.04794520547945205
class_2,1,26,0.1409219832761599,0.2692307692307692
class_2,2,16,0.25040236944790073,0.25
class_2,3,14,0.34375000302253983,0.21428571428571427
class_2,4,14,0.4510393624885293,0.5
class_2,5,13,0.5545751074287678,0.7692307692307693
class_2,6,18,0.6537190141848199,0.7777777777777778
class_2,7,29,0.7584121948129195,0.9655172413793104
class_2,8,41,0.8515137218406321,0.926829268292683
class_2,9,83,0.9400182580920674,0.963855421686747
class_3,0,343,0.006182096145020793,0.0029154518950437317
class_3,1,8,0.13645038678398075,0.0
class_3,2,4,0.25973634452706396,0.0
class_3,3,6,0.35849132547374524,0.16666666666666666
class_3,4,2,0.44372389894332964,0.5
class_3,6,3,0.6572147614460064,0.6666666666666666
class_3,7,4,0.7362988862485372,0.75
class_3,8,5,0.8584314079382356,0.8
class_3,9,25,0.9854735112938333,0.88
high_or_urgent,0,121,0.024647196613927964,0.03305785123966942
high_or_urgent,1,21,0.1408523776229055,0.2857142857142857
high_or_urgent,2,12,0.24618655410047297,0.25
high_or_urgent,3,11,0.3442513806361458,0.18181818181818182
high_or_urgent,4,14,0.45130960417815835,0.5
high_or_urgent,5,10,0.5504167853264215,0.8
high_or_urgent,6,13,0.6562916524216216,0.7692307692307693
high_or_urgent,7,24,0.7613003994996878,0.9583333333333334
high_or_urgent,8,32,0.8472434355676337,0.90625
high_or_urgent,9,142,0.9771977786403266,0.9859154929577465
