target,bin,n,mean_predicted,observed_fraction
class_0,0,238,0.027636558761477147,0.012605042016806723
class_0,1,65,0.15045399726712697,0.03076923076923077
class_0,2,32,0.24191609160457078,0.21875
class_0,3,14,0.3463123774489219,0.21428571428571427
class_0,4,19,0.4478600860039089,0.3684210526315789
class_0,5,8,0.5617082577469239,1.0
class_0,6,16,0.6482538689128103,0.8125
class_0,7,5,0.7457604586427649,1.0
class_0,8,3,0.8283333325049999,1.0
class_1,0,94,0.05386016161754139,0.0
class_1,1,70,0.1490955358134388,0.014285714285714285
class_1,2,58,0.2549271352042181,0.13793103448275862
class_1,3,67,0.34825088449562497,0.417910447761194
class_1,4,48,0.4529047355546248,0.6041666666666666
class_1,5,23,0.5356995791253255,0.8695652173913043
class_1,6,20,0.654700498114312,0.75
class_1,7,14,0.7499999997885715,0.7857142857142857
class_1,8,5,0.8149999995080002,0.8
class_1,9,1,0.914999999085,1.0
class_2,0,56,0.054423575020908777,0.017857142857142856
class_2,1,51,0.14012844286619605,0.0196078431372549
class_2,2,23,0.24970806722023997,0.043478260869565216
class_2,3,38,0.3462617033608174,0.2631578947368421
class_2,4,39,0.45313962662688806,0.41025641025641024
class_2,5,34,0.5505336810780069,0.5588235294117647
class_2,6,50,0.6504243846078943,0.82
class_2,7,48,0.7546948602513943,1.0
class_2,8,45,0.856287452115951,1.0
class_2,9,16,0.9406249992921876,1.0
class_3,0,301,0.026662750423993763,0.0
class_3,1,40,0.14639731161254757,0.05
class_3,2,22,0.24121141440469474,0.22727272727272727
class_3,3,12,0.3393763358972022,0.5833333333333334
class_3,4,10,0.4544398190588962,0.6
class_3,5,7,0.5423229321663768,1.0
class_3,6,5,0.6649794064718589,1.0
class_3,7,1,0.7150729542783183,1.0
class_3,8,1,0.81,1.0
class_3,9,1,0.9349999981299999,0.0
high_or_urgent,0,47,0.055784578967886814,0.0
high_or_urgent,1,44,0.1383250957762638,0.022727272727272728
high_or_urgent,2,25,0.23850107185654984,0.0
high_or_urgent,3,20,0.35567399433948543,0.3
high_or_urgent,4,32,0.45350031488030673,0.4375
high_or_urgent,5,24,0.5569657379013937,0.375
high_or_urgent,6,32,0.6587990745169485,0.84375
high_or_urgent,7,38,0.7590130233358447,1.0
high_or_urgent,8,57,0.8604409999844347,0.9824561403508771
high_or_urgent,9,81,0.9452987597262158,1.0
