target,bin,n,mean_predicted,observed_fraction
class_0,0,306,0.01599680439073268,0.016339869281045753
class_0,1,18,0.14452514506129108,0.16666666666666666
class_0,2,16,0.2502314950689044,0.375
class_0,3,12,0.3346131842631846,0.25
class_0,4,8,0.45849062700074505,0.5
class_0,5,5,0.549063460346271,0.4
class_0,6,8,0.6458363966380816,0.75
class_0,7,12,0.7615859143131694,0.8333333333333334
class_0,8,12,0.850906597269752,0.75
class_0,9,3,0.9235633493832377,1.0
class_1,0,178,0.02596774176814272,0.016853932584269662
class_1,1,38,0.14613857826611568,0.21052631578947367
class_1,2,24,0.25173901442830116,0.16666666666666666
class_1,3,28,0.34581744825344823,0.32142857142857145
class_1,4,25,0.46310232275629615,0.72
class_1,5,14,0.5449431374876956,0.42857142857142855
class_1,6,25,0.6559972738163148,0.68
class_1,7,21,0.7421504559148419,0.6666666666666666
class_1,8,26,0.8455134242113425,0.7307692307692307
class_1,9,21,0.9366251155459532,0.9047619047619048
class_2,0,117,0.030503528204757796,0.02564102564102564
class_2,1,27,0.1507859545991293,0.1111111111111111
class_2,2,18,0.24618513002200748,0.2777777777777778
class_2,3,19,0.3387896112739483,0.21052631578947367
class_2,4,13,0.4497051402343153,0.3076923076923077
class_2,5,11,0.561458775271999,0.2727272727272727
class_2,6,19,0.6529288623357292,0.6842105263157895
class_2,7,13,0.7462704280447163,0.6923076923076923
class_2,8,29,0.8530948811637347,0.7586206896551724
class_2,9,134,0.9613234743833434,0.9850746268656716
class_3,0,362,0.010269109014339493,0.008287292817679558
class_3,1,4,0.1315961394066309,0.5
class_3,2,5,0.2778915133405802,1.0
class_3,3,4,0.3472258124678478,0.75
class_3,4,2,0.4856421721814078,1.0
class_3,5,1,0.5035744332874866,1.0
class_3,6,5,0.6429807267718364,0.8
class_3,7,7,0.7576188989895141,0.7142857142857143
class_3,8,5,0.8449990664435847,1.0
class_3,9,5,0.9208509671316746,0.8
high_or_urgent,0,103,0.030196691265769324,0.009708737864077669
high_or_urgent,1,23,0.14381810992847974,0.13043478260869565
high_or_urgent,2,14,0.24332334079828646,0.2857142857142857
high_or_urgent,3,15,0.33905738092247273,0.2
high_or_urgent,4,12,0.4496447474410615,0.4166666666666667
high_or_urgent,5,8,0.5511654297793422,0.375
high_or_urgent,6,19,0.6488074065884316,0.7894736842105263
high_or_urgent,7,10,0.7513013157274921,0.9
high_or_urgent,8,24,0.8492496705253143,0.75
high_or_urgent,9,172,0.9715208201350024,0.9941860465116279
