feature,coefficient,abs_coefficient
numeric__phq9_total,0.7239288675241836,0.7239288675241836
numeric__gad7_total,0.6269581640688485,0.6269581640688485
numeric__idate_estado_total,0.5993949356174543,0.5993949356174543
categorical__education_medio,-0.22306770809150897,0.22306770809150897
numeric__social_vulnerability,0.1955467519551558,0.1955467519551558
categorical__education_fundamental_ou_menos,0.15523800601014046,0.15523800601014046
categorical__gender_category_masculino,0.1278696592232238,0.1278696592232238
categorical__gender_category_feminino,-0.11433364716603259,0.11433364716603259
numeric__food_insecurity,0.10224108321711059,0.10224108321711059
numeric__chronic_condition,0.08425527422421156,0.08425527422421156
numeric__recent_service_contact,0.07065004776555432,0.07065004776555432
categorical__education_superior,0.0677385274608251,0.0677385274608251
numeric__age_years,-0.039577315511636554,0.039577315511636554
categorical__gender_category_outro_ou_nao_informado,-0.01362684630215819,0.01362684630215819
numeric__poor_housing,0.010567251552739644,0.010567251552739644
numeric__mental_health_history,0.00834181446847956,0.00834181446847956
numeric__income_brl,0.007402690601381178,0.007402690601381178
numeric__income_normalized,0.0074013917921672435,0.0074013917921672435
