feature,mean_abs_shap_highurgent
numeric__phq9_total,0.1364068342739873
numeric__idate_estado_total,0.12720409070990032
numeric__gad7_total,0.12063246619037583
numeric__social_vulnerability,0.044838485525632146
numeric__chronic_condition,0.030847085293005786
numeric__age_years,0.026509906755951284
numeric__food_insecurity,0.020369258695291367
numeric__income_brl,0.01976813985990777
numeric__income_normalized,0.019037574779835763
numeric__mental_health_history,0.013650420244046882
categorical__education_fundamental_ou_menos,0.013093958291102412
numeric__recent_service_contact,0.010752907614270049
numeric__poor_housing,0.009251169517148923
categorical__gender_category_feminino,0.007356911280838929
categorical__education_medio,0.006932586518536051
categorical__gender_category_masculino,0.00588086564612469
categorical__education_superior,0.005274278773564941
categorical__gender_category_outro_ou_nao_informado,0.0
