feature,mean_abs_shap_highurgent
numeric__idate_estado_total,1.1628838
numeric__phq9_total,0.9811174
numeric__gad7_total,0.81964135
numeric__social_vulnerability,0.45277023
numeric__age_years,0.26545602
numeric__income_brl,0.25188726
numeric__chronic_condition,0.24026674
numeric__recent_service_contact,0.09782686
categorical__gender_category_masculino,0.08868654
categorical__education_medio,0.07416573
numeric__income_normalized,0.04982153
numeric__mental_health_history,0.044825587
categorical__gender_category_feminino,0.041824035
categorical__education_fundamental_ou_menos,0.033562418
numeric__poor_housing,0.019549388
categorical__education_superior,0.0128485635
numeric__food_insecurity,0.0051517338
categorical__gender_category_outro_ou_nao_informado,0.0
