test_row_index,numeric__age_years,numeric__income_brl,numeric__income_normalized,numeric__food_insecurity,numeric__poor_housing,numeric__social_vulnerability,numeric__mental_health_history,numeric__chronic_condition,numeric__recent_service_contact,numeric__phq9_total,numeric__gad7_total,numeric__idate_estado_total,categorical__gender_category_feminino,categorical__gender_category_masculino,categorical__gender_category_outro_ou_nao_informado,categorical__education_fundamental_ou_menos,categorical__education_medio,categorical__education_superior
0,0.18362856,0.3512203,0.07217827,0.0037601676,0.009082137,0.5024594,0.03328027,0.5929471,0.058415167,0.54343706,0.64856255,0.716599,0.047942974,0.047978904,0.0,0.031209035,0.016959403,0.019072803
1,0.14820112,0.1646922,0.0395523,0.0043359017,0.012532009,0.2949983,0.012275339,0.19219121,0.08048315,1.9737755,1.0438975,2.256653,0.035271056,0.09125855,0.0,0.02771879,0.08742388,0.004389536
2,0.37391436,0.18084508,0.051642455,0.0013448586,0.011845665,0.40831038,0.03354371,0.22687382,0.20548448,0.55813396,1.0224302,0.47620288,0.04656856,0.024968974,0.0,0.013138801,0.036706407,0.04595225
3,0.26129085,0.13825887,0.0428349,0.0043359017,0.012532009,0.2897848,0.058033932,0.19492534,0.11336466,2.1664042,0.7671019,1.9264522,0.045141898,0.12127477,0.0,0.08103435,0.057166927,0.0080982465
4,0.17095163,0.23051003,0.05001031,0.0042375913,0.0124265775,0.35214525,0.054771807,0.15163453,0.083883576,1.9538919,1.1897708,2.1237614,0.021838263,0.0493698,0.0,0.022520775,0.059192866,0.006644132
5,0.5118435,0.37996092,0.052254777,0.004774598,0.019032381,0.4610884,0.030790353,0.23643593,0.19369034,0.2767345,0.4601729,0.5325715,0.051912677,0.03107952,0.0,0.014921647,0.09120327,0.007616366
6,0.18198292,0.11270184,0.056344114,0.0043359017,0.011793253,0.29457033,0.026729427,0.16839832,0.09008272,2.1493077,1.1797475,2.3217998,0.040249974,0.11513756,0.0,0.03520443,0.10735877,0.0061293966
7,0.43640947,0.29852432,0.06365174,0.0008620642,0.014080562,0.45855248,0.047214907,0.20709299,0.12747708,0.3400494,0.927614,0.8087483,0.04284834,0.093585044,0.0,0.015398957,0.10003514,0.0069479723
8,0.6988958,0.36638027,0.048368942,0.007189907,0.021238986,0.3192908,0.026642192,0.39547098,0.024896108,0.6850568,0.5356443,0.64074445,0.04803128,0.03107952,0.0,0.0067392588,0.08248334,0.0055058585
9,0.1196547,0.3308818,0.026732337,0.010949334,0.009082137,0.23400362,0.032689385,0.42104882,0.027502317,0.6052216,0.86246324,0.7018631,0.0617674,0.12198718,0.0,0.031371728,0.04534932,0.006459462
