feature,coefficient,abs_coefficient
numeric__marker_sintomas_psicoticos_severity_code,1.5560018609548751,1.5560018609548751
numeric__marker_risco_violencia_severity_code,1.5261654977878276,1.5261654977878276
numeric__marker_risco_violencia_present,1.5261654523344081,1.5261654523344081
categorical__marker_suporte_social_baixo_certainty_afirmado,1.3157322374554925,1.3157322374554925
categorical__marker_suporte_social_baixo_certainty_incerto,-1.3157011600452926,1.3157011600452926
numeric__marker_comprometimento_funcional_severity_code,1.292828086339352,1.292828086339352
categorical__marker_sintomas_psicoticos_severity_moderado,-1.254829427613883,1.254829427613883
numeric__marker_planejamento_suicida_severity_code,1.2087300202007916,1.2087300202007916
numeric__marker_planejamento_suicida_present,1.2087298401443143,1.2087298401443143
categorical__marker_sintomas_psicoticos_severity_alto,1.1473116109224109,1.1473116109224109
numeric__phq9_total,1.1095052178928215,1.1095052178928215
numeric__gad7_total,1.032407454370529,1.032407454370529
categorical__marker_comprometimento_funcional_severity_leve,-0.8317939954619494,0.8317939954619494
categorical__marker_comprometimento_funcional_certainty_afirmado,0.8164778869228524,0.8164778869228524
categorical__marker_comprometimento_funcional_certainty_incerto,-0.8164469519292457,0.8164469519292457
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.6067003207915791,0.6067003207915791
categorical__marker_sintomas_psicoticos_certainty_incerto,-0.6066683129546108,0.6066683129546108
categorical__marker_comprometimento_funcional_severity_moderado,0.5532978171899071,0.5532978171899071
numeric__marker_suporte_social_baixo_present,0.5210956212810699,0.5210956212810699
numeric__marker_suporte_social_baixo_severity_code,0.5210951476029638,0.5210951476029638
categorical__education_medio,-0.48756766497012033,0.48756766497012033
numeric__marker_sintomas_psicoticos_present,-0.46186287362717354,0.46186287362717354
numeric__marker_uso_problematico_substancias_negated,-0.4581669557646011,0.4581669557646011
categorical__marker_agravamento_recente_certainty_afirmado,0.44470140880485387,0.44470140880485387
categorical__marker_agravamento_recente_certainty_incerto,-0.4446703745041089,0.4446703745041089
numeric__social_vulnerability,0.432455598172196,0.432455598172196
numeric__marker_suporte_social_baixo_negated,-0.4071408750939967,0.4071408750939967
categorical__marker_comprometimento_funcional_severity_importante,0.3654774706340494,0.3654774706340494
categorical__education_fundamental_ou_menos,0.33468927022121137,0.33468927022121137
categorical__marker_ideacao_suicida_certainty_afirmado,0.32370364497685583,0.32370364497685583
categorical__marker_ideacao_suicida_certainty_incerto,-0.32367238363934686,0.32367238363934686
numeric__food_insecurity,0.3230048147085574,0.3230048147085574
numeric__marker_agravamento_recente_severity_code,0.3212758928371602,0.3212758928371602
numeric__marker_agravamento_recente_present,0.321275631471489,0.321275631471489
numeric__marker_risco_violencia_negated,-0.30004832869990056,0.30004832869990056
categorical__marker_risco_violencia_severity_alto,0.27062624955025233,0.27062624955025233
categorical__marker_risco_violencia_severity_ausente,-0.2705950886876138,0.2705950886876138
numeric__marker_agravamento_recente_negated,-0.26198383437298756,0.26198383437298756
categorical__marker_suporte_social_baixo_severity_leve,0.2600108486947216,0.2600108486947216
categorical__marker_suporte_social_baixo_severity_ausente,-0.2599808105713068,0.2599808105713068
categorical__gender_category_feminino,-0.2537483516207538,0.2537483516207538
numeric__marker_uso_problematico_substancias_severity_code,0.2499647458949985,0.2499647458949985
numeric__marker_uso_problematico_substancias_present,0.2499644981429888,0.2499644981429888
categorical__gender_category_outro_ou_nao_informado,0.24176987773969813,0.24176987773969813
categorical__marker_planejamento_suicida_severity_alto,0.2296395369238335,0.2296395369238335
categorical__marker_planejamento_suicida_severity_ausente,-0.22960911155176777,0.22960911155176777
numeric__idate_estado_total,0.2153104762671383,0.2153104762671383
numeric__marker_comprometimento_funcional_present,0.20907422173831114,0.20907422173831114
numeric__marker_comprometimento_funcional_negated,0.17510227580276896,0.17510227580276896
categorical__marker_internacao_previa_certainty_afirmado,0.1734755109996551,0.1734755109996551
categorical__marker_internacao_previa_certainty_incerto,-0.17344336936748625,0.17344336936748625
numeric__marker_planejamento_suicida_negated,-0.16964280648028798,0.16964280648028798
categorical__marker_comprometimento_funcional_temporality_atual,0.15314492719488818,0.15314492719488818
categorical__marker_comprometimento_funcional_temporality_nao_especificado,-0.15311357044922028,0.15311357044922028
categorical__education_superior,0.15290952788499393,0.15290952788499393
categorical__marker_planejamento_suicida_temporality_atual,0.15036450373469787,0.15036450373469787
categorical__marker_planejamento_suicida_temporality_nao_especificado,-0.15033320771963557,0.15033320771963557
numeric__age_years,-0.14388004555792372,0.14388004555792372
categorical__marker_agravamento_recente_severity_moderado,0.14136659685607983,0.14136659685607983
categorical__marker_agravamento_recente_severity_ausente,-0.1413356725794282,0.1413356725794282
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.1356110611560868,0.1356110611560868
categorical__marker_uso_problematico_substancias_temporality_atual,-0.13558106726376246,0.13558106726376246
categorical__marker_risco_violencia_temporality_atual,0.13314875903840112,0.13314875903840112
categorical__marker_risco_violencia_temporality_nao_especificado,-0.13311845739572745,0.13311845739572745
categorical__marker_sintomas_psicoticos_severity_ausente,0.10754868019470724,0.10754868019470724
numeric__mental_health_history,-0.1072447510181673,0.1072447510181673
categorical__marker_uso_problematico_substancias_severity_moderado,0.09221869981940051,0.09221869981940051
categorical__marker_uso_problematico_substancias_severity_ausente,-0.09218785863393722,0.09218785863393722
categorical__marker_uso_problematico_substancias_experiencer_paciente,0.0873993093344782,0.0873993093344782
categorical__marker_uso_problematico_substancias_experiencer_terceiro,-0.08736745005356136,0.08736745005356136
categorical__marker_comprometimento_funcional_severity_ausente,-0.08695254891940962,0.08695254891940962
numeric__marker_autoagressao_iminente_negated,-0.08315922437133347,0.08315922437133347
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.07917308905063658,0.07917308905063658
categorical__marker_sintomas_psicoticos_temporality_atual,-0.07914222544407713,0.07914222544407713
numeric__marker_ideacao_suicida_remote_present,0.06830937277773413,0.06830937277773413
numeric__poor_housing,-0.06379303427623502,0.06379303427623502
categorical__marker_sintomas_psicoticos_experiencer_terceiro,0.06278349103338374,0.06278349103338374
categorical__marker_sintomas_psicoticos_experiencer_paciente,-0.06275327871097891,0.06275327871097891
categorical__marker_suporte_social_baixo_temporality_atual,0.060776522121523374,0.060776522121523374
categorical__marker_suporte_social_baixo_temporality_nao_especificado,-0.06074581224745102,0.06074581224745102
numeric__marker_sintomas_psicoticos_negated,0.05944935978211122,0.05944935978211122
numeric__marker_internacao_previa_present,0.053543849347918566,0.053543849347918566
numeric__marker_internacao_previa_remote_present,0.05354350171794303,0.05354350171794303
numeric__marker_internacao_previa_severity_code,0.053543161274963884,0.053543161274963884
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.03647916406023323,0.03647916406023323
categorical__marker_autoagressao_iminente_temporality_atual,-0.036448843852128945,0.036448843852128945
categorical__marker_uso_problematico_substancias_certainty_incerto,0.03369802958003359,0.03369802958003359
categorical__marker_uso_problematico_substancias_certainty_afirmado,-0.03366611816728957,0.03366611816728957
categorical__marker_internacao_previa_temporality_remoto,0.030800517577963312,0.030800517577963312
categorical__marker_internacao_previa_temporality_nao_especificado,-0.030769679195829475,0.030769679195829475
numeric__marker_autoagressao_iminente_present,0.027001555552672855,0.027001555552672855
numeric__marker_autoagressao_iminente_severity_code,0.02700124544983417,0.02700124544983417
numeric__marker_internacao_previa_negated,0.025552995988287343,0.025552995988287343
categorical__marker_internacao_previa_severity_leve,0.018442849644360954,0.018442849644360954
categorical__marker_internacao_previa_severity_ausente,-0.018412752434831172,0.018412752434831172
numeric__recent_service_contact,0.01794893677046262,0.01794893677046262
numeric__marker_ideacao_suicida_present,-0.01405660025698116,0.01405660025698116
numeric__marker_ideacao_suicida_severity_code,-0.014056403439328036,0.014056403439328036
categorical__gender_category_masculino,0.012009256804826141,0.012009256804826141
categorical__marker_agravamento_recente_temporality_atual,0.010554281385325938,0.010554281385325938
categorical__marker_agravamento_recente_temporality_nao_especificado,-0.01052474332595872,0.01052474332595872
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.00554673261667577,0.00554673261667577
categorical__marker_ideacao_suicida_temporality_atual,-0.005516285833856021,0.005516285833856021
