feature,mean_abs_shap_highurgent
numeric__marker_comprometimento_funcional_severity_code,0.07891058418789439
numeric__gad7_total,0.07881833740220374
numeric__phq9_total,0.07203762018351065
numeric__idate_estado_total,0.054344711686635315
categorical__marker_risco_violencia_severity_alto,0.03182709949913451
numeric__marker_risco_violencia_severity_code,0.02989508119009851
categorical__marker_risco_violencia_severity_ausente,0.029471052961003857
categorical__marker_planejamento_suicida_severity_alto,0.028843480220172163
numeric__marker_planejamento_suicida_present,0.02781842770890518
numeric__marker_planejamento_suicida_severity_code,0.02753590974609932
numeric__marker_risco_violencia_present,0.0270249420247038
categorical__marker_planejamento_suicida_severity_ausente,0.025786599112377472
categorical__marker_sintomas_psicoticos_severity_alto,0.025775166912765348
numeric__marker_comprometimento_funcional_present,0.023938456101096205
numeric__marker_sintomas_psicoticos_severity_code,0.019201445323707544
categorical__marker_comprometimento_funcional_severity_ausente,0.01848585393842015
numeric__marker_suporte_social_baixo_severity_code,0.018330864883523958
categorical__marker_comprometimento_funcional_severity_importante,0.017923884950465974
numeric__social_vulnerability,0.01748355470460235
categorical__marker_suporte_social_baixo_severity_leve,0.01582154292916175
numeric__marker_sintomas_psicoticos_present,0.01548370303470068
categorical__marker_comprometimento_funcional_severity_moderado,0.014539990674471726
categorical__marker_ideacao_suicida_severity_moderado,0.014087254345768938
numeric__marker_suporte_social_baixo_present,0.014086625756067861
numeric__marker_ideacao_suicida_severity_code,0.014049027646815601
categorical__marker_suporte_social_baixo_severity_ausente,0.012634309578935124
categorical__marker_sintomas_psicoticos_severity_ausente,0.011286556962373845
numeric__age_years,0.01120812506566433
categorical__marker_comprometimento_funcional_severity_leve,0.010912871144459236
numeric__marker_suporte_social_baixo_negated,0.010697425923398063
numeric__marker_ideacao_suicida_present,0.010608666570948857
categorical__marker_ideacao_suicida_severity_ausente,0.010274594634481056
numeric__marker_agravamento_recente_present,0.009838016961735243
categorical__marker_agravamento_recente_severity_ausente,0.00976447930860849
numeric__chronic_condition,0.008148430208938403
categorical__marker_agravamento_recente_severity_moderado,0.008021457485032048
categorical__marker_uso_problematico_substancias_severity_moderado,0.007928696922322254
numeric__marker_agravamento_recente_severity_code,0.00710878469838577
numeric__marker_risco_violencia_negated,0.007020173848439837
numeric__marker_uso_problematico_substancias_negated,0.006835004734318703
numeric__income_brl,0.0066515250941814996
categorical__marker_uso_problematico_substancias_severity_ausente,0.0066237248018697495
numeric__marker_uso_problematico_substancias_present,0.006431369053436745
numeric__food_insecurity,0.006361605227934996
numeric__income_normalized,0.006207721549754908
numeric__marker_sintomas_psicoticos_negated,0.006003518089052889
categorical__education_fundamental_ou_menos,0.0052610429110109035
numeric__poor_housing,0.005090914124428073
numeric__marker_agravamento_recente_negated,0.005073310087099945
numeric__marker_comprometimento_funcional_negated,0.005068022496594028
numeric__recent_service_contact,0.0041103467814838915
numeric__mental_health_history,0.004041413213676654
numeric__marker_planejamento_suicida_negated,0.00402063394878723
numeric__marker_uso_problematico_substancias_severity_code,0.003864495620938342
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.0035026995377448788
categorical__education_medio,0.0032974698722781836
numeric__marker_autoagressao_iminente_negated,0.0032079699922750284
numeric__marker_ideacao_suicida_negated,0.0030130856395383806
categorical__marker_planejamento_suicida_temporality_atual,0.0029977572615506737
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.002984274562512413
numeric__marker_internacao_previa_severity_code,0.0028683924474002943
categorical__marker_ideacao_suicida_temporality_atual,0.00263953078984384
categorical__marker_autoagressao_iminente_temporality_atual,0.0025542161222963182
numeric__marker_internacao_previa_present,0.0022774166672910267
categorical__marker_internacao_previa_temporality_nao_especificado,0.0022754928437894724
categorical__marker_internacao_previa_severity_ausente,0.0022411216419687715
categorical__gender_category_feminino,0.002229337371177127
categorical__marker_internacao_previa_temporality_remoto,0.0022016133452703343
categorical__marker_risco_violencia_temporality_atual,0.0020977385277750533
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.002029498856499091
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0020106199802847535
numeric__marker_internacao_previa_remote_present,0.0019484504445530693
numeric__marker_internacao_previa_negated,0.001916669204923897
categorical__marker_sintomas_psicoticos_temporality_atual,0.0017948366187279738
categorical__marker_suporte_social_baixo_certainty_afirmado,0.001721785799078328
categorical__gender_category_masculino,0.0017197043524548998
categorical__marker_uso_problematico_substancias_temporality_atual,0.0016544462522926635
categorical__marker_internacao_previa_severity_leve,0.00162639914047563
categorical__marker_suporte_social_baixo_temporality_atual,0.0015909318815568608
categorical__marker_agravamento_recente_temporality_nao_especificado,0.001532382565797607
categorical__marker_risco_violencia_temporality_nao_especificado,0.001483117781998792
categorical__marker_agravamento_recente_temporality_atual,0.0014236674720660733
categorical__marker_comprometimento_funcional_temporality_atual,0.0013880220567140276
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.0013271504887791535
categorical__marker_suporte_social_baixo_certainty_incerto,0.0013043877876934321
categorical__education_superior,0.0012747040331428146
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.0011276132990115891
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.0010854112843426825
categorical__marker_internacao_previa_certainty_afirmado,0.000856286612863667
numeric__marker_ideacao_suicida_remote_present,0.0008307466772990334
categorical__marker_comprometimento_funcional_certainty_afirmado,0.000755634950445917
categorical__marker_internacao_previa_certainty_incerto,0.0007050130702462338
categorical__marker_comprometimento_funcional_certainty_incerto,0.00046571826193453293
numeric__marker_autoagressao_iminente_present,0.00046316649247351064
categorical__marker_agravamento_recente_certainty_incerto,0.0003720536105769213
categorical__marker_agravamento_recente_certainty_afirmado,0.00035876601647657857
categorical__marker_ideacao_suicida_certainty_afirmado,0.0003326127622066696
numeric__marker_autoagressao_iminente_severity_code,0.00032915149211314496
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.00028340118659988834
categorical__marker_uso_problematico_substancias_experiencer_terceiro,0.00026788417974882387
categorical__marker_autoagressao_iminente_severity_alto,0.0002628492602458081
categorical__marker_uso_problematico_substancias_certainty_incerto,0.00019984703709604183
categorical__marker_ideacao_suicida_certainty_incerto,0.0001477834405246942
categorical__gender_category_outro_ou_nao_informado,0.00013992708768934838
categorical__marker_sintomas_psicoticos_severity_moderado,0.00012387425852672615
categorical__marker_sintomas_psicoticos_certainty_incerto,0.00012079478608368458
categorical__marker_uso_problematico_substancias_experiencer_paciente,8.49594473328643e-05
categorical__marker_uso_problematico_substancias_certainty_afirmado,8.188227262013702e-05
categorical__marker_sintomas_psicoticos_experiencer_paciente,2.4904667964371495e-05
categorical__marker_sintomas_psicoticos_experiencer_terceiro,1.4217680865344188e-05
numeric__marker_autoagressao_iminente_remote_present,0.0
numeric__marker_planejamento_suicida_remote_present,0.0
numeric__marker_risco_violencia_remote_present,0.0
numeric__marker_sintomas_psicoticos_remote_present,0.0
categorical__marker_ideacao_suicida_experiencer_paciente,0.0
numeric__marker_comprometimento_funcional_remote_present,0.0
numeric__marker_agravamento_recente_remote_present,0.0
numeric__marker_suporte_social_baixo_remote_present,0.0
numeric__marker_uso_problematico_substancias_remote_present,0.0
categorical__marker_autoagressao_iminente_experiencer_paciente,0.0
categorical__marker_autoagressao_iminente_severity_ausente,0.0
categorical__marker_risco_violencia_certainty_afirmado,0.0
categorical__marker_risco_violencia_experiencer_paciente,0.0
categorical__marker_autoagressao_iminente_certainty_afirmado,0.0
categorical__marker_planejamento_suicida_experiencer_paciente,0.0
categorical__marker_planejamento_suicida_certainty_afirmado,0.0
categorical__marker_agravamento_recente_experiencer_paciente,0.0
categorical__marker_internacao_previa_experiencer_paciente,0.0
categorical__marker_suporte_social_baixo_experiencer_paciente,0.0
categorical__marker_comprometimento_funcional_experiencer_paciente,0.0
