feature,mean_abs_shap_highurgent
numeric__gad7_total,0.7344336
numeric__marker_planejamento_suicida_present,0.7267573
numeric__marker_risco_violencia_present,0.70165145
numeric__marker_sintomas_psicoticos_severity_code,0.61055815
numeric__marker_comprometimento_funcional_severity_code,0.5910074
numeric__phq9_total,0.56963277
numeric__idate_estado_total,0.45138153
numeric__social_vulnerability,0.34592754
numeric__marker_suporte_social_baixo_present,0.2977409
categorical__marker_sintomas_psicoticos_severity_alto,0.15016836
numeric__age_years,0.14980213
numeric__marker_uso_problematico_substancias_present,0.13297498
numeric__marker_risco_violencia_severity_code,0.12816621
numeric__marker_agravamento_recente_present,0.10041023
numeric__chronic_condition,0.09101354
numeric__marker_ideacao_suicida_present,0.08989062
numeric__marker_planejamento_suicida_severity_code,0.08481302
numeric__marker_suporte_social_baixo_negated,0.08105179
numeric__marker_risco_violencia_negated,0.06350185
numeric__marker_sintomas_psicoticos_present,0.054819874
numeric__marker_comprometimento_funcional_present,0.05464466
categorical__marker_comprometimento_funcional_severity_moderado,0.046640936
numeric__income_brl,0.04539714
numeric__marker_uso_problematico_substancias_negated,0.04538636
categorical__marker_planejamento_suicida_severity_alto,0.044383112
categorical__marker_ideacao_suicida_temporality_atual,0.039081633
numeric__marker_ideacao_suicida_remote_present,0.038368784
numeric__marker_autoagressao_iminente_negated,0.038118817
numeric__marker_sintomas_psicoticos_negated,0.029658161
numeric__marker_ideacao_suicida_severity_code,0.028027399
numeric__marker_agravamento_recente_negated,0.026177842
numeric__marker_suporte_social_baixo_severity_code,0.024944715
categorical__education_medio,0.02025265
numeric__marker_ideacao_suicida_negated,0.019442583
categorical__gender_category_feminino,0.0188586
numeric__marker_agravamento_recente_severity_code,0.017189683
categorical__marker_suporte_social_baixo_certainty_afirmado,0.016668262
numeric__marker_uso_problematico_substancias_severity_code,0.013900996
categorical__marker_planejamento_suicida_temporality_atual,0.013307688
numeric__food_insecurity,0.013004706
categorical__education_fundamental_ou_menos,0.010343355
categorical__marker_comprometimento_funcional_certainty_afirmado,0.010226357
numeric__income_normalized,0.009588751
numeric__marker_internacao_previa_present,0.009482135
numeric__mental_health_history,0.009223724
categorical__marker_risco_violencia_severity_alto,0.008911128
categorical__marker_comprometimento_funcional_severity_importante,0.007912858
categorical__marker_risco_violencia_severity_ausente,0.007456022
categorical__marker_uso_problematico_substancias_severity_ausente,0.007396862
categorical__marker_sintomas_psicoticos_severity_ausente,0.007318028
numeric__marker_planejamento_suicida_negated,0.0073111616
categorical__marker_suporte_social_baixo_severity_leve,0.006237331
categorical__marker_suporte_social_baixo_certainty_incerto,0.0054528983
categorical__marker_agravamento_recente_temporality_atual,0.0042973463
numeric__recent_service_contact,0.004223988
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.003813349
categorical__marker_suporte_social_baixo_temporality_atual,0.0038001891
categorical__marker_comprometimento_funcional_severity_leve,0.0036871466
numeric__marker_internacao_previa_severity_code,0.0032530362
categorical__marker_sintomas_psicoticos_temporality_atual,0.0031980837
numeric__marker_internacao_previa_negated,0.0028072828
numeric__marker_internacao_previa_remote_present,0.0020486938
categorical__marker_internacao_previa_temporality_nao_especificado,0.001876905
categorical__marker_internacao_previa_temporality_remoto,0.00096049433
categorical__marker_agravamento_recente_certainty_incerto,0.00085062167
categorical__marker_risco_violencia_temporality_atual,0.00023228131
categorical__marker_ideacao_suicida_experiencer_paciente,0.0
categorical__marker_ideacao_suicida_certainty_incerto,0.0
categorical__marker_ideacao_suicida_certainty_afirmado,0.0
categorical__marker_ideacao_suicida_severity_moderado,0.0
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.0
categorical__marker_ideacao_suicida_severity_ausente,0.0
categorical__gender_category_outro_ou_nao_informado,0.0
categorical__education_superior,0.0
