feature,coefficient,abs_coefficient
numeric__marker_planejamento_suicida_present,1.581179061027037,1.581179061027037
numeric__marker_risco_violencia_present,1.3287662131158158,1.3287662131158158
categorical__marker_suporte_social_baixo_severity_leve,1.326698902826888,1.326698902826888
numeric__marker_sintomas_psicoticos_severity_code,-1.2487305627370626,1.2487305627370626
numeric__marker_sintomas_psicoticos_present,1.2417151781214963,1.2417151781214963
numeric__phq9_total,1.1833241809456907,1.1833241809456907
numeric__marker_risco_violencia_severity_code,1.063158272683552,1.063158272683552
categorical__marker_comprometimento_funcional_severity_leve,-1.0304119581412579,1.0304119581412579
numeric__gad7_total,0.8831499344260673,0.8831499344260673
numeric__marker_comprometimento_funcional_severity_code,0.8375681707201232,0.8375681707201232
numeric__marker_suporte_social_baixo_present,0.6943645128154698,0.6943645128154698
categorical__marker_comprometimento_funcional_severity_importante,0.6088877502866517,0.6088877502866517
numeric__marker_agravamento_recente_present,0.5723088722342615,0.5723088722342615
categorical__marker_sintomas_psicoticos_severity_nao_especificado,0.5421688874291429,0.5421688874291429
categorical__marker_comprometimento_funcional_temporality_atual,-0.5151485926082642,0.5151485926082642
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.5138475055212511,0.5138475055212511
numeric__idate_estado_total,0.4832423812068972,0.4832423812068972
numeric__marker_comprometimento_funcional_present,0.4794916909528253,0.4794916909528253
categorical__marker_suporte_social_baixo_severity_moderado,-0.4624711036993988,0.4624711036993988
categorical__education_medio,-0.45574811640786683,0.45574811640786683
numeric__marker_ideacao_suicida_present,0.44655163447729984,0.44655163447729984
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,-0.4321872297838478,0.4321872297838478
categorical__marker_sintomas_psicoticos_temporality_atual,0.43088517528074904,0.43088517528074904
categorical__marker_uso_problematico_substancias_temporality_atual,-0.4229687007525042,0.4229687007525042
categorical__marker_suporte_social_baixo_severity_nao_especificado,-0.41466982531607866,0.41466982531607866
numeric__marker_uso_problematico_substancias_severity_code,0.38342954027199316,0.38342954027199316
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.37944110385746854,0.37944110385746854
numeric__marker_suporte_social_baixo_negated,-0.3386007304945716,0.3386007304945716
categorical__marker_suporte_social_baixo_severity_ausente,-0.33325018901873904,0.33325018901873904
categorical__marker_sintomas_psicoticos_certainty_incerto,-0.32063937399415154,0.32063937399415154
categorical__marker_comprometimento_funcional_severity_moderado,0.31942817611513324,0.31942817611513324
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.31933806636783246,0.31933806636783246
categorical__marker_planejamento_suicida_severity_ausente,-0.3016511972664854,0.3016511972664854
categorical__marker_planejamento_suicida_severity_nao_especificado,0.3003491439184199,0.3003491439184199
categorical__marker_sintomas_psicoticos_severity_ausente,-0.29029314159014274,0.29029314159014274
categorical__marker_comprometimento_funcional_severity_nao_especificado,0.28818920155215844,0.28818920155215844
categorical__marker_sintomas_psicoticos_severity_moderado,-0.2862628867823223,0.2862628867823223
numeric__marker_suporte_social_baixo_severity_code,0.27624386205150153,0.27624386205150153
numeric__marker_uso_problematico_substancias_present,0.2684013092077174,0.2684013092077174
categorical__education_fundamental_ou_menos,0.23976991103598436,0.23976991103598436
