feature,mean_abs_shap_highurgent
numeric__phq9_total,0.08967353789713414
numeric__marker_comprometimento_funcional_severity_code,0.07645619116631311
numeric__gad7_total,0.0752614389774522
numeric__idate_estado_total,0.054691786943543645
numeric__marker_risco_violencia_present,0.03697613961150103
categorical__marker_planejamento_suicida_severity_ausente,0.032494727478123354
numeric__marker_planejamento_suicida_present,0.03218602879945074
categorical__marker_risco_violencia_severity_ausente,0.03099061297370722
categorical__marker_sintomas_psicoticos_severity_nao_especificado,0.02634728177229559
categorical__marker_planejamento_suicida_severity_nao_especificado,0.023128974297915997
numeric__social_vulnerability,0.017988729186658076
categorical__marker_comprometimento_funcional_severity_importante,0.017418758496426198
categorical__marker_ideacao_suicida_severity_ausente,0.016906322069677834
numeric__marker_risco_violencia_severity_code,0.016437093119740707
categorical__marker_suporte_social_baixo_severity_ausente,0.016289174719619857
numeric__marker_comprometimento_funcional_present,0.015891567705464717
categorical__marker_sintomas_psicoticos_severity_ausente,0.015724447686105595
numeric__marker_ideacao_suicida_present,0.015720494798680686
numeric__marker_suporte_social_baixo_present,0.014843234752860339
categorical__marker_ideacao_suicida_severity_nao_especificado,0.014767765624985529
categorical__marker_comprometimento_funcional_severity_ausente,0.014542604718181931
numeric__marker_sintomas_psicoticos_present,0.014323720349068396
categorical__marker_comprometimento_funcional_severity_moderado,0.012862032579191303
categorical__marker_comprometimento_funcional_severity_leve,0.012028564178355048
categorical__marker_risco_violencia_severity_alto,0.011636736343258847
numeric__chronic_condition,0.011394094392597294
numeric__income_brl,0.010494080349368107
numeric__age_years,0.009979540510516744
numeric__food_insecurity,0.009840804572866063
numeric__marker_sintomas_psicoticos_negated,0.009545055457347837
numeric__income_normalized,0.009096688407190084
numeric__marker_comprometimento_funcional_negated,0.008536629543150173
categorical__marker_uso_problematico_substancias_severity_ausente,0.008399586373501399
numeric__marker_risco_violencia_negated,0.008394174016930024
categorical__marker_suporte_social_baixo_severity_nao_especificado,0.008357183750994339
numeric__marker_planejamento_suicida_negated,0.008222410898393605
categorical__marker_agravamento_recente_severity_ausente,0.0074357447984709
numeric__marker_agravamento_recente_negated,0.006814697727150341
numeric__marker_uso_problematico_substancias_present,0.006811548713414466
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.006249576147133799
categorical__education_fundamental_ou_menos,0.006214482580936717
numeric__marker_uso_problematico_substancias_negated,0.005866593022313512
numeric__marker_ideacao_suicida_negated,0.005777679722051025
numeric__marker_agravamento_recente_present,0.005448622242143867
numeric__recent_service_contact,0.005118168878538684
categorical__marker_agravamento_recente_severity_nao_especificado,0.004970860311749821
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.004940346831578456
categorical__marker_suporte_social_baixo_temporality_atual,0.004914194511192335
categorical__marker_planejamento_suicida_temporality_atual,0.004833276571788681
categorical__education_medio,0.004807623445267761
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.004660730908771777
categorical__marker_ideacao_suicida_temporality_atual,0.004268708409727411
categorical__marker_agravamento_recente_temporality_atual,0.004263988061222302
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.004229969202084418
categorical__marker_uso_problematico_substancias_severity_nao_especificado,0.004021086422983785
numeric__marker_suporte_social_baixo_negated,0.00400629940755433
numeric__mental_health_history,0.003956589649986201
numeric__marker_internacao_previa_negated,0.0038229879340964485
categorical__marker_risco_violencia_temporality_nao_especificado,0.0038017113422953264
numeric__poor_housing,0.003607641758948645
categorical__gender_category_feminino,0.0035659468414140894
categorical__marker_comprometimento_funcional_temporality_atual,0.00339013070897673
numeric__marker_internacao_previa_remote_present,0.0033564201058304227
categorical__education_superior,0.0033321395888974248
categorical__marker_agravamento_recente_temporality_nao_especificado,0.003174600084337641
categorical__gender_category_masculino,0.003054517447034218
categorical__marker_agravamento_recente_severity_moderado,0.0029883855350757937
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.002983971886098649
categorical__marker_risco_violencia_temporality_atual,0.0028761143227894865
numeric__marker_suporte_social_baixo_severity_code,0.0028014666782202944
categorical__marker_risco_violencia_severity_nao_especificado,0.0025387331850994176
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.002501365557272323
categorical__marker_uso_problematico_substancias_temporality_atual,0.002495673437990054
categorical__marker_sintomas_psicoticos_temporality_atual,0.0024643734278740766
numeric__marker_autoagressao_iminente_negated,0.002370460339571848
