feature,mean_abs_shap_highurgent
numeric__phq9_total,0.72594553
numeric__marker_risco_violencia_present,0.6073069
numeric__marker_comprometimento_funcional_severity_code,0.5977625
numeric__gad7_total,0.5666534
numeric__marker_planejamento_suicida_present,0.55367774
numeric__idate_estado_total,0.45659637
categorical__marker_sintomas_psicoticos_severity_nao_especificado,0.43009552
numeric__social_vulnerability,0.35957047
numeric__marker_sintomas_psicoticos_negated,0.25089478
numeric__marker_suporte_social_baixo_present,0.19986829
numeric__marker_ideacao_suicida_present,0.19313164
categorical__marker_comprometimento_funcional_severity_importante,0.17762293
numeric__age_years,0.12561879
numeric__chronic_condition,0.09942892
categorical__marker_risco_violencia_severity_ausente,0.094790146
categorical__marker_comprometimento_funcional_severity_moderado,0.08185043
numeric__marker_internacao_previa_negated,0.07625349
numeric__marker_uso_problematico_substancias_present,0.07352748
categorical__marker_planejamento_suicida_severity_ausente,0.072884746
numeric__marker_risco_violencia_negated,0.06682801
numeric__income_brl,0.06383476
categorical__marker_comprometimento_funcional_temporality_atual,0.05780257
categorical__marker_agravamento_recente_severity_nao_especificado,0.05397553
numeric__marker_sintomas_psicoticos_present,0.053897243
numeric__marker_planejamento_suicida_negated,0.049787212
categorical__marker_ideacao_suicida_severity_ausente,0.042478975
categorical__gender_category_feminino,0.039661814
numeric__marker_agravamento_recente_negated,0.03916287
categorical__marker_uso_problematico_substancias_severity_nao_especificado,0.0380903
categorical__marker_ideacao_suicida_temporality_atual,0.03754407
numeric__marker_comprometimento_funcional_present,0.036085952
categorical__marker_suporte_social_baixo_severity_ausente,0.028231632
numeric__marker_risco_violencia_severity_code,0.024605697
categorical__marker_agravamento_recente_temporality_atual,0.021851541
numeric__marker_uso_problematico_substancias_severity_code,0.02033459
categorical__marker_suporte_social_baixo_severity_nao_especificado,0.016245767
numeric__marker_agravamento_recente_present,0.015754718
numeric__marker_autoagressao_iminente_negated,0.014335973
categorical__marker_autoagressao_iminente_temporality_atual,0.013264623
categorical__education_fundamental_ou_menos,0.011849848
categorical__marker_sintomas_psicoticos_severity_ausente,0.011483869
numeric__marker_internacao_previa_remote_present,0.009460449
categorical__marker_planejamento_suicida_severity_nao_especificado,0.009353037
categorical__marker_comprometimento_funcional_severity_ausente,0.008773051
numeric__marker_uso_problematico_substancias_negated,0.008244499
numeric__income_normalized,0.008164147
categorical__gender_category_masculino,0.007783986
categorical__marker_internacao_previa_temporality_remoto,0.007694087
categorical__marker_internacao_previa_temporality_nao_especificado,0.00757182
categorical__marker_suporte_social_baixo_temporality_atual,0.0075697885
numeric__recent_service_contact,0.007318574
