target,bin,n,mean_predicted,observed_fraction
class_0,0,312,0.03170199237415277,0.01282051282051282
class_0,1,73,0.13876607437712518,0.0684931506849315
class_0,2,60,0.24444002066628864,0.21666666666666667
class_0,3,46,0.35033763337910623,0.34782608695652173
class_0,4,35,0.4470857049988127,0.4
class_0,5,29,0.5402486179484154,0.5862068965517241
class_0,6,18,0.645735690554121,0.6111111111111112
class_0,7,30,0.7527198145002639,0.6666666666666666
class_0,8,26,0.8391586865150018,0.46153846153846156
class_0,9,11,0.9323555514187153,0.5454545454545454
class_1,0,108,0.06133169799527108,0.046296296296296294
class_1,1,141,0.1480877545470865,0.15602836879432624
class_1,2,81,0.24756310166501422,0.19753086419753085
class_1,3,96,0.3582441144152701,0.34375
class_1,4,175,0.46085876600020687,0.5485714285714286
class_1,5,39,0.5037932737955684,0.6923076923076923
class_2,0,126,0.04459952508876756,0.0
class_2,1,102,0.14880896350728637,0.14705882352941177
class_2,2,84,0.2469200857593702,0.35714285714285715
class_2,3,106,0.3528396680543315,0.6226415094339622
class_2,4,222,0.4566416838604824,0.8018018018018018
class_3,0,322,0.0294462359465893,0.012422360248447204
class_3,1,81,0.14103121559741336,0.0
class_3,2,48,0.25299353772766725,0.08333333333333333
class_3,3,52,0.34728392576602857,0.07692307692307693
class_3,4,52,0.4453975281787912,0.09615384615384616
class_3,5,31,0.5412353883094158,0.22580645161290322
class_3,6,31,0.6469900706922992,0.16129032258064516
class_3,7,18,0.7618394124366155,0.2222222222222222
class_3,8,4,0.830814023758875,0.0
class_3,9,1,0.9020776017536931,1.0
high_or_urgent,0,115,0.04577593074103462,0.0
high_or_urgent,1,80,0.14836355364664938,0.0625
high_or_urgent,2,55,0.24992673795271572,0.09090909090909091
high_or_urgent,3,35,0.34378773349461683,0.42857142857142855
high_or_urgent,4,44,0.4522633916369301,0.4318181818181818
high_or_urgent,5,45,0.550906916581542,0.6222222222222222
high_or_urgent,6,36,0.652867052608182,0.7222222222222222
high_or_urgent,7,52,0.7588655527833391,0.9423076923076923
high_or_urgent,8,100,0.8550987761223716,0.98
high_or_urgent,9,78,0.9394899507914357,1.0
