metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.4694814448308786,0.5362946380527789
weighted_kappa,0.6839758141162899,0.7517502763470351
ordinal_mae,0.346875,0.40085937499999996
recall_alta,0.7577854671280276,0.8350346020761246
recall_urgente,0.029411764705882353,0.22867647058823526
auc_roc_ovr_macro,0.8230840528511923,0.8667319876387725
auprc_alta,0.8062662163668555,0.8735186679464738
auprc_urgente,0.11770203113833996,0.20646297444932638
multiclass_brier,0.4459688959060342,0.48786608551020544
multiclass_log_loss,0.745778996144276,0.8160460440791832
brier_highurgent,0.07267933570880132,0.09401676552840471
log_loss_highurgent,0.24473317997475108,0.298929773628173
calibration_intercept,0.021684109870849278,0.5815443584859299
calibration_slope,1.309660555516983,1.6763522920863214
