target,bin,n,mean_predicted,observed_fraction
class_0,0,304,0.028455262541681892,0.006578947368421052
class_0,1,76,0.14506119715278548,0.05263157894736842
class_0,2,61,0.24883125709488255,0.19672131147540983
class_0,3,40,0.34935672408090224,0.4
class_0,4,48,0.44744616165804674,0.5
class_0,5,48,0.5457778234117573,0.4166666666666667
class_0,6,34,0.6458049964171826,0.6470588235294118
class_0,7,22,0.7425117997633536,0.5909090909090909
class_0,8,5,0.856332466504135,0.6
class_0,9,2,0.9067900031712575,1.0
class_1,0,164,0.04475287543997465,0.0
class_1,1,67,0.14487741852536984,0.1044776119402985
class_1,2,85,0.24824547293480873,0.3411764705882353
class_1,3,99,0.35377507032923355,0.36363636363636365
class_1,4,103,0.4484832292575297,0.5242718446601942
class_1,5,74,0.5470182089972248,0.527027027027027
class_1,6,37,0.642421964078059,0.6756756756756757
class_1,7,8,0.7500222226797009,0.75
class_1,8,2,0.8351388880537499,1.0
class_1,9,1,0.914999999085,1.0
class_2,0,197,0.03831076565913555,0.005076142131979695
class_2,1,55,0.1487267993258299,0.12727272727272726
class_2,2,43,0.2596072553074627,0.32558139534883723
class_2,3,45,0.3526200680499489,0.6888888888888889
class_2,4,56,0.45269453044708946,0.6428571428571429
class_2,5,94,0.5476723081044862,0.7978723404255319
class_2,6,53,0.643367553971172,0.7735849056603774
class_2,7,53,0.7469323607434953,0.8301886792452831
class_2,8,40,0.8476470955534395,0.9
class_2,9,4,0.9156854393344396,1.0
class_3,0,406,0.02429092857671759,0.017241379310344827
class_3,1,86,0.14792397693261908,0.05813953488372093
class_3,2,62,0.24888738643045163,0.12903225806451613
class_3,3,35,0.3509338777188661,0.14285714285714285
class_3,4,31,0.4507399200893046,0.1935483870967742
class_3,5,13,0.542473787623249,0.23076923076923078
class_3,6,5,0.6586766273369834,0.0
class_3,7,2,0.72486111002375,0.0
high_or_urgent,0,183,0.03981634066286731,0.01092896174863388
high_or_urgent,1,50,0.14365094044736987,0.1
high_or_urgent,2,36,0.25524359620788617,0.19444444444444445
high_or_urgent,3,32,0.3548919974448363,0.46875
high_or_urgent,4,24,0.4440832723751445,0.5833333333333334
high_or_urgent,5,35,0.5524117567092341,0.5142857142857142
high_or_urgent,6,45,0.6547826258726595,0.7333333333333333
high_or_urgent,7,32,0.7536967072603221,0.90625
high_or_urgent,8,52,0.8560241197725019,0.9423076923076923
high_or_urgent,9,151,0.9523634343593759,1.0
