target,bin,n,mean_predicted,observed_fraction
class_0,0,409,0.018914966078139226,0.02444987775061125
class_0,1,37,0.15683201930113003,0.2972972972972973
class_0,2,33,0.24906553055592492,0.36363636363636365
class_0,3,34,0.3444014848717591,0.4117647058823529
class_0,4,31,0.4520104750903991,0.4838709677419355
class_0,5,33,0.5439600111049854,0.48484848484848486
class_0,6,21,0.649512344165359,0.7142857142857143
class_0,7,23,0.7560380647705339,0.5217391304347826
class_0,8,15,0.8564555080945843,0.6666666666666666
class_0,9,4,0.93448740453293,0.75
class_1,0,255,0.02720555347798253,0.027450980392156862
class_1,1,48,0.14798491131088157,0.3541666666666667
class_1,2,47,0.24503255121712522,0.46808510638297873
class_1,3,39,0.34725239529811763,0.28205128205128205
class_1,4,55,0.44914610469863697,0.4909090909090909
class_1,5,45,0.5490082717726792,0.4444444444444444
class_1,6,51,0.6531249236106486,0.6078431372549019
class_1,7,53,0.754150059883902,0.5660377358490566
class_1,8,31,0.8507133761428909,0.6451612903225806
class_1,9,16,0.936371997139734,0.875
class_2,0,240,0.02686567463988034,0.016666666666666666
class_2,1,29,0.15444176009201424,0.27586206896551724
class_2,2,23,0.25767019991185075,0.2608695652173913
class_2,3,13,0.3433979201668184,0.6153846153846154
class_2,4,17,0.44554270772968296,0.47058823529411764
class_2,5,20,0.5584252473679989,0.6
class_2,6,34,0.6493447546834223,0.7058823529411765
class_2,7,36,0.7557984617418593,0.6666666666666666
class_2,8,63,0.8620709033235981,0.8253968253968254
class_2,9,165,0.9521292450561056,0.8666666666666667
class_3,0,581,0.013507706974234583,0.04475043029259897
class_3,1,25,0.13909295278457046,0.12
class_3,2,14,0.24800726565903194,0.21428571428571427
class_3,3,14,0.35306540256283253,0.14285714285714285
class_3,4,4,0.462543850431133,0.0
class_3,7,2,0.7326252906017386,0.0
high_or_urgent,0,232,0.028576552520503177,0.021551724137931036
high_or_urgent,1,34,0.15174199480625966,0.17647058823529413
high_or_urgent,2,20,0.2510968566171546,0.25
high_or_urgent,3,16,0.3455361300150391,0.625
high_or_urgent,4,13,0.4519112475393389,0.5384615384615384
high_or_urgent,5,13,0.5522182290438429,0.5384615384615384
high_or_urgent,6,21,0.6566242420995524,0.5714285714285714
high_or_urgent,7,21,0.7555906259528401,0.47619047619047616
high_or_urgent,8,30,0.8619066243488958,0.8333333333333334
high_or_urgent,9,240,0.9704458235604574,0.9833333333333333
