target,bin,n,mean_predicted,observed_fraction
class_0,0,422,0.011410274741613208,0.002369668246445498
class_0,1,32,0.1414546254775791,0.125
class_0,2,23,0.2560348258393062,0.08695652173913043
class_0,3,16,0.3398949582495264,0.125
class_0,4,22,0.44814675272814186,0.36363636363636365
class_0,5,15,0.5507397757927349,0.3333333333333333
class_0,6,14,0.6587086620724703,0.7142857142857143
class_0,7,22,0.7508780269554672,0.7272727272727273
class_0,8,22,0.8562305187296011,0.9090909090909091
class_0,9,52,0.9609273942548421,0.9615384615384616
class_1,0,272,0.022061029543407024,0.022058823529411766
class_1,1,55,0.14941801516523762,0.03636363636363636
class_1,2,42,0.24850470421400947,0.23809523809523808
class_1,3,31,0.34333038720667475,0.1935483870967742
class_1,4,29,0.451766570164691,0.5517241379310345
class_1,5,39,0.5520952745391633,0.5641025641025641
class_1,6,49,0.6649101882292741,0.7551020408163265
class_1,7,65,0.7559399688949259,0.7846153846153846
class_1,8,58,0.8343669053085885,0.8448275862068966
class_2,0,273,0.017467866553167392,0.02197802197802198
class_2,1,33,0.15113001585392855,0.24242424242424243
class_2,2,35,0.2512886404323883,0.3142857142857143
class_2,3,18,0.34490036835347876,0.3888888888888889
class_2,4,15,0.4404051308263318,0.6
class_2,5,14,0.5377928358290831,0.6428571428571429
class_2,6,21,0.6521183239789698,0.8571428571428571
class_2,7,23,0.7555977349663074,0.8260869565217391
class_2,8,34,0.8506594225414634,1.0
class_2,9,174,0.9682139238989138,0.9655172413793104
class_3,0,594,0.0025463557841561434,0.003367003367003367
class_3,1,3,0.11173513715772891,0.0
class_3,2,3,0.24802330957227794,0.3333333333333333
class_3,3,3,0.36089239232635895,0.0
class_3,5,1,0.5376644183950616,0.0
class_3,7,1,0.7537978166990524,0.0
class_3,8,3,0.859067979243684,0.6666666666666666
class_3,9,32,0.9912452713667518,0.90625
high_or_urgent,0,241,0.018625148795455872,0.012448132780082987
high_or_urgent,1,30,0.15215352348102795,0.23333333333333334
high_or_urgent,2,34,0.251443886471614,0.29411764705882354
high_or_urgent,3,18,0.3449090501760891,0.3888888888888889
high_or_urgent,4,14,0.4388513442937213,0.5714285714285714
high_or_urgent,5,14,0.5378130929297217,0.6428571428571429
high_or_urgent,6,18,0.6543247753161946,0.8333333333333334
high_or_urgent,7,20,0.7562084769916556,0.85
high_or_urgent,8,31,0.8471296469331748,1.0
high_or_urgent,9,220,0.9817060184767934,0.9818181818181818
