target,bin,n,mean_predicted,observed_fraction
class_0,0,409,0.026808879328433892,0.0
class_0,1,51,0.13742625797208785,0.058823529411764705
class_0,2,30,0.253346941972046,0.03333333333333333
class_0,3,16,0.3441235140424656,0.25
class_0,4,16,0.44703667715024803,0.1875
class_0,5,14,0.5374448803801977,0.7142857142857143
class_0,6,17,0.6524104198134858,0.7058823529411765
class_0,7,30,0.7517359721610309,0.9333333333333333
class_0,8,28,0.8507428441094778,1.0
class_0,9,29,0.9410467800462937,1.0
class_1,0,166,0.048001731294574565,0.0
class_1,1,111,0.14883491399291437,0.009009009009009009
class_1,2,85,0.24843200425110185,0.15294117647058825
class_1,3,61,0.3462477732221206,0.3114754098360656
class_1,4,56,0.447111586119503,0.5892857142857143
class_1,5,33,0.5445420375366223,0.6666666666666666
class_1,6,35,0.6491477980361805,0.6857142857142857
class_1,7,35,0.7456521674465765,0.8571428571428571
class_1,8,39,0.8486558596407102,0.9743589743589743
class_1,9,19,0.933225243045429,1.0
class_2,0,173,0.03724985434000071,0.005780346820809248
class_2,1,90,0.14585023618582899,0.044444444444444446
class_2,2,48,0.2500451268620633,0.10416666666666667
class_2,3,39,0.34820331109683045,0.358974358974359
class_2,4,28,0.45513941933652474,0.4642857142857143
class_2,5,31,0.5516359788780065,0.8387096774193549
class_2,6,45,0.6452767946078148,0.9111111111111111
class_2,7,55,0.7549146554872749,0.9818181818181818
class_2,8,90,0.8579578551032168,1.0
class_2,9,41,0.9362999340615151,1.0
class_3,0,580,0.015366379676577587,0.0
class_3,1,23,0.14565217389456525,0.08695652173913043
class_3,2,4,0.25874999979625,0.25
class_3,4,2,0.42999999956999996,0.5
class_3,5,1,0.51,1.0
class_3,6,2,0.63,1.0
class_3,7,11,0.7545454540681817,1.0
class_3,8,14,0.8507142850474999,1.0
class_3,9,3,0.9366666654233334,0.6666666666666666
high_or_urgent,0,160,0.035855031881455,0.0
high_or_urgent,1,75,0.14181220435013187,0.05333333333333334
high_or_urgent,2,44,0.25489072497942794,0.11363636363636363
high_or_urgent,3,35,0.3519936972155933,0.4
high_or_urgent,4,26,0.4503975022996109,0.4230769230769231
high_or_urgent,5,25,0.5527318879355585,0.8
high_or_urgent,6,44,0.6537718499807587,0.9090909090909091
high_or_urgent,7,43,0.7604208982961091,0.9534883720930233
high_or_urgent,8,62,0.8568753794468721,1.0
high_or_urgent,9,126,0.953020389560319,1.0
