target,bin,n,mean_predicted,observed_fraction
class_0,0,457,0.01533961901172189,0.006564551422319475
class_0,1,25,0.14236792678321594,0.04
class_0,2,22,0.25763503753702094,0.22727272727272727
class_0,3,18,0.3547657973802375,0.2222222222222222
class_0,4,8,0.4400169674504707,0.25
class_0,5,5,0.5183745395522151,0.8
class_0,6,9,0.6526801272784533,0.6666666666666666
class_0,7,16,0.7573948937304507,1.0
class_0,8,45,0.8644442297800482,0.9333333333333333
class_0,9,35,0.9332778457266327,1.0
class_1,0,283,0.028637761740750566,0.0035335689045936395
class_1,1,76,0.13927859318881972,0.07894736842105263
class_1,2,35,0.2449801239291138,0.2
class_1,3,23,0.3459952473596279,0.30434782608695654
class_1,4,31,0.44419200341709425,0.5483870967741935
class_1,5,29,0.552994675843012,0.6206896551724138
class_1,6,30,0.6485622447884055,0.7
class_1,7,27,0.7599908574685801,0.8148148148148148
class_1,8,41,0.866679494658168,0.975609756097561
class_1,9,65,0.9338822653517616,0.9230769230769231
class_2,0,249,0.02812610982203338,0.012048192771084338
class_2,1,43,0.1455030040715058,0.09302325581395349
class_2,2,27,0.24239749104824157,0.037037037037037035
class_2,3,19,0.34364875389226773,0.21052631578947367
class_2,4,17,0.45664850653358036,0.47058823529411764
class_2,5,14,0.5515928042670636,0.5714285714285714
class_2,6,14,0.6503938662451832,0.6428571428571429
class_2,7,17,0.7591198874769329,0.9411764705882353
class_2,8,39,0.8565409412791559,0.9230769230769231
class_2,9,201,0.9713464068750067,0.9950248756218906
class_3,0,605,0.004359444617704621,0.003305785123966942
class_3,1,2,0.13361725170455507,0.5
class_3,2,1,0.26411354720110375,0.0
class_3,3,1,0.39528385870646626,1.0
class_3,4,2,0.4508197188123607,1.0
class_3,5,3,0.5534158416505469,1.0
class_3,6,2,0.665800027836785,1.0
class_3,7,6,0.7509274334194004,1.0
class_3,8,12,0.866425038390917,0.9166666666666666
class_3,9,6,0.9383768110653826,1.0
high_or_urgent,0,237,0.02878689970986005,0.008438818565400843
high_or_urgent,1,34,0.14837441507939983,0.11764705882352941
high_or_urgent,2,19,0.24179427258923553,0.05263157894736842
high_or_urgent,3,18,0.34314015789990404,0.2777777777777778
high_or_urgent,4,14,0.4478541721227522,0.5714285714285714
high_or_urgent,5,14,0.5468383875472144,0.6428571428571429
high_or_urgent,6,16,0.6542088649486721,0.625
high_or_urgent,7,15,0.7578696072883501,0.9333333333333333
high_or_urgent,8,39,0.8569283547241013,0.9230769230769231
high_or_urgent,9,234,0.9771242373741634,1.0
