target,bin,n,mean_predicted,observed_fraction
class_0,0,419,0.011250710251287942,0.00477326968973747
class_0,1,32,0.1349121670293273,0.09375
class_0,2,24,0.24798493831618743,0.08333333333333333
class_0,3,22,0.35015031102400257,0.22727272727272727
class_0,4,15,0.45469256266015773,0.3333333333333333
class_0,5,19,0.5554828676801078,0.3157894736842105
class_0,6,10,0.6663524623156204,0.5
class_0,7,24,0.7582290893458342,0.8333333333333334
class_0,8,21,0.8507701713996392,0.8095238095238095
class_0,9,54,0.9597047984039875,0.9814814814814815
class_1,0,274,0.02159752244342324,0.01824817518248175
class_1,1,49,0.14649205360730314,0.08163265306122448
class_1,2,48,0.24235177196644622,0.16666666666666666
class_1,3,28,0.3475305134060308,0.32142857142857145
class_1,4,32,0.45322801519208944,0.53125
class_1,5,32,0.5522407913027099,0.4375
class_1,6,44,0.6514899869510267,0.8181818181818182
class_1,7,74,0.7532540114832589,0.7567567567567568
class_1,8,59,0.8285426838558353,0.847457627118644
class_2,0,271,0.016365824811193547,0.02952029520295203
class_2,1,41,0.1492691658133386,0.2682926829268293
class_2,2,33,0.24347352927500737,0.24242424242424243
class_2,3,18,0.34679484674494454,0.3888888888888889
class_2,4,17,0.4452517182398503,0.7647058823529411
class_2,5,14,0.5474268793018761,0.6428571428571429
class_2,6,20,0.6487440673835647,0.9
class_2,7,26,0.7536865752731747,0.8461538461538461
class_2,8,31,0.8517138530262841,1.0
class_2,9,169,0.9681431124787845,0.9585798816568047
class_3,0,589,0.0027010196175097207,0.0050933786078098476
class_3,1,3,0.15860205106083355,0.0
class_3,2,4,0.26037193438753337,0.0
class_3,3,3,0.36405872603542616,0.0
class_3,4,2,0.4321197354304809,0.0
class_3,6,1,0.6313561624044008,0.0
class_3,7,2,0.787170390419017,0.5
class_3,8,2,0.8791509502355361,0.5
class_3,9,34,0.9935009237829564,0.8529411764705882
high_or_urgent,0,237,0.01778160135107048,0.012658227848101266
high_or_urgent,1,39,0.1507303005067143,0.2564102564102564
high_or_urgent,2,31,0.2454560461920873,0.22580645161290322
high_or_urgent,3,17,0.345517313413339,0.35294117647058826
high_or_urgent,4,17,0.44526524915785065,0.7647058823529411
high_or_urgent,5,12,0.5440412309504996,0.5833333333333334
high_or_urgent,6,17,0.6510406396666895,0.8823529411764706
high_or_urgent,7,22,0.7563001274807537,0.8181818181818182
high_or_urgent,8,28,0.8529375531583984,1.0
high_or_urgent,9,220,0.9827311339992576,0.9818181818181818
