target,bin,n,mean_predicted,observed_fraction
class_0,0,398,0.028272440728510533,0.005025125628140704
class_0,1,58,0.14249468501089832,0.034482758620689655
class_0,2,30,0.25125998336650257,0.06666666666666667
class_0,3,22,0.34792197670471453,0.13636363636363635
class_0,4,15,0.45802398746145095,0.26666666666666666
class_0,5,13,0.5602290514014497,0.6923076923076923
class_0,6,20,0.6578820676204999,0.65
class_0,7,28,0.7637093810734247,0.9642857142857143
class_0,8,27,0.8559408396440218,1.0
class_0,9,29,0.940036909883718,1.0
class_1,0,169,0.04962705718620752,0.0
class_1,1,110,0.15034702264487898,0.00909090909090909
class_1,2,82,0.24905275770352175,0.13414634146341464
class_1,3,61,0.34521837007418354,0.3770491803278688
class_1,4,54,0.44451309007041434,0.5185185185185185
class_1,5,46,0.5496333417106628,0.717391304347826
class_1,6,34,0.6547270286530394,0.7941176470588235
class_1,7,37,0.7555234828705512,0.8378378378378378
class_1,8,32,0.8465956659718579,0.9375
class_1,9,15,0.9172232480560255,1.0
class_2,0,175,0.03596462243545147,0.005714285714285714
class_2,1,92,0.14799496690117211,0.021739130434782608
class_2,2,46,0.2532688517835299,0.13043478260869565
class_2,3,37,0.3465651612561933,0.43243243243243246
class_2,4,28,0.45234345722907765,0.39285714285714285
class_2,5,36,0.5493552052572701,0.8888888888888888
class_2,6,38,0.6574099671569206,0.9210526315789473
class_2,7,53,0.7551430376302815,0.9811320754716981
class_2,8,87,0.8561139783970603,0.9885057471264368
class_2,9,48,0.9338800981015916,1.0
class_3,0,584,0.01447774010604452,0.003424657534246575
class_3,1,17,0.1355882352402941,0.058823529411764705
class_3,2,3,0.24333333333333332,0.0
class_3,3,1,0.35,0.0
class_3,4,4,0.4174999997925,0.25
class_3,6,6,0.6558333328808333,1.0
class_3,7,8,0.77062499951875,1.0
class_3,8,14,0.8482142849860713,1.0
class_3,9,3,0.9483333314366668,0.6666666666666666
high_or_urgent,0,163,0.034348521850975505,0.0
high_or_urgent,1,78,0.14680175638894657,0.02564102564102564
high_or_urgent,2,37,0.25556735678871284,0.10810810810810811
high_or_urgent,3,40,0.3501821494869787,0.45
high_or_urgent,4,19,0.45874424294410443,0.47368421052631576
high_or_urgent,5,30,0.5452651353661132,0.7666666666666667
high_or_urgent,6,34,0.6527125754456409,0.8823529411764706
high_or_urgent,7,48,0.7517695032839287,0.9791666666666666
high_or_urgent,8,68,0.8562894121888549,0.9852941176470589
high_or_urgent,9,123,0.9542746855738257,1.0
