target,bin,n,mean_predicted,observed_fraction
class_0,0,457,0.01566323585696627,0.010940919037199124
class_0,1,31,0.14342746645584312,0.12903225806451613
class_0,2,19,0.2500585858121919,0.10526315789473684
class_0,3,16,0.35232299575096265,0.125
class_0,4,7,0.44857369559469884,0.42857142857142855
class_0,5,7,0.5404671046559268,0.5714285714285714
class_0,6,9,0.6720114656378731,0.7777777777777778
class_0,7,11,0.760432272375299,1.0
class_0,8,38,0.8652358191677562,0.9473684210526315
class_0,9,45,0.9401978155886555,0.9777777777777777
class_1,0,298,0.02806203909860176,0.013422818791946308
class_1,1,64,0.14019257719072423,0.078125
class_1,2,33,0.24093800097942483,0.24242424242424243
class_1,3,27,0.34621153150016337,0.3333333333333333
class_1,4,30,0.45023017346972977,0.4666666666666667
class_1,5,19,0.5575632653865549,0.7368421052631579
class_1,6,20,0.6504462933082176,0.75
class_1,7,37,0.7408537445036765,0.8108108108108109
class_1,8,46,0.8537022688556987,0.8260869565217391
class_1,9,66,0.9381000635904504,0.9393939393939394
class_2,0,245,0.025233891343200875,0.012244897959183673
class_2,1,50,0.14550105495073642,0.08
class_2,2,29,0.24533043062820176,0.10344827586206896
class_2,3,14,0.3448587605861495,0.35714285714285715
class_2,4,11,0.45019883071912264,0.36363636363636365
class_2,5,16,0.5539818399769262,0.5
class_2,6,14,0.6441955898175445,0.7142857142857143
class_2,7,19,0.7519993262405417,0.7368421052631579
class_2,8,35,0.858289422384326,0.9428571428571428
class_2,9,207,0.9704930444859311,0.9903381642512077
class_3,0,606,0.005243354662658962,0.0049504950495049506
class_3,1,2,0.15842191905642988,0.0
class_3,2,1,0.28571268729866595,1.0
class_3,3,1,0.3964402575940947,1.0
class_3,4,3,0.45467080736054216,1.0
class_3,5,1,0.5241889494259754,1.0
class_3,6,3,0.6430332587100781,1.0
class_3,7,5,0.7567409386320966,1.0
class_3,8,11,0.8591057262620811,0.9090909090909091
class_3,9,7,0.9230631496310489,1.0
high_or_urgent,0,234,0.025960880307446865,0.01282051282051282
high_or_urgent,1,40,0.15031616895361039,0.075
high_or_urgent,2,25,0.25177376377580074,0.16
high_or_urgent,3,11,0.35656933939177343,0.5454545454545454
high_or_urgent,4,8,0.4465737395522499,0.375
high_or_urgent,5,14,0.5455665700068125,0.7142857142857143
high_or_urgent,6,15,0.6458326036548067,0.6666666666666666
high_or_urgent,7,20,0.7532778804972655,0.7
high_or_urgent,8,31,0.8573396532559908,0.967741935483871
high_or_urgent,9,242,0.9764407292740027,0.9917355371900827
