feature,coefficient,abs_coefficient
numeric__phq9_total,0.79856338451581,0.79856338451581
numeric__gad7_total,0.702633546530722,0.702633546530722
numeric__idate_estado_total,0.5400043325664061,0.5400043325664061
numeric__social_vulnerability,0.16092737969620377,0.16092737969620377
numeric__food_insecurity,0.1527131645558257,0.1527131645558257
numeric__mental_health_history,0.11388473746167829,0.11388473746167829
categorical__education_superior,-0.10789559882910649,0.10789559882910649
numeric__income_normalized,0.09345165198839693,0.09345165198839693
numeric__income_brl,0.09344976348105097,0.09344976348105097
categorical__education_fundamental_ou_menos,0.07641016320182631,0.07641016320182631
numeric__poor_housing,0.07273006456935183,0.07273006456935183
numeric__chronic_condition,-0.0561063130534565,0.0561063130534565
categorical__gender_category_feminino,0.03645646632625441,0.03645646632625441
categorical__gender_category_masculino,-0.033262831229478956,0.033262831229478956
categorical__education_medio,0.03140313936667563,0.03140313936667563
numeric__age_years,-0.02200660068712793,0.02200660068712793
numeric__recent_service_contact,0.01506766148659501,0.01506766148659501
categorical__gender_category_outro_ou_nao_informado,-0.0032755925990481777,0.0032755925990481777
