feature,mean_abs_shap_highurgent
numeric__phq9_total,0.16416464167053368
numeric__gad7_total,0.12814777905517602
numeric__idate_estado_total,0.11718423699268636
numeric__age_years,0.04208912540095486
numeric__social_vulnerability,0.039479289484938
numeric__recent_service_contact,0.026653305463903744
numeric__income_normalized,0.022818393032374464
numeric__income_brl,0.02172148391285338
numeric__mental_health_history,0.015592380739137952
numeric__food_insecurity,0.013496741091189124
numeric__poor_housing,0.013459143028648876
categorical__education_medio,0.01159238486550921
categorical__education_superior,0.011038076679523893
numeric__chronic_condition,0.006040830531297891
categorical__education_fundamental_ou_menos,0.0054274440742192115
categorical__gender_category_masculino,0.003626630500458376
categorical__gender_category_feminino,0.0032368563287004082
categorical__gender_category_outro_ou_nao_informado,3.8829672944429704e-05
