feature,mean_abs_shap_highurgent
numeric__phq9_total,1.3193673
numeric__idate_estado_total,1.2389581
numeric__gad7_total,1.1576809
numeric__social_vulnerability,0.5827118
numeric__income_brl,0.328126
numeric__age_years,0.31423402
numeric__recent_service_contact,0.1752749
numeric__chronic_condition,0.11060307
categorical__education_superior,0.083190545
numeric__mental_health_history,0.07938509
categorical__gender_category_masculino,0.054635525
numeric__income_normalized,0.050259165
categorical__education_medio,0.049165875
numeric__food_insecurity,0.036570746
numeric__poor_housing,0.032605417
categorical__education_fundamental_ou_menos,0.029436424
categorical__gender_category_feminino,0.015302911
categorical__gender_category_outro_ou_nao_informado,0.0012835867
