test_row_index,numeric__age_years,numeric__income_brl,numeric__income_normalized,numeric__food_insecurity,numeric__poor_housing,numeric__social_vulnerability,numeric__mental_health_history,numeric__chronic_condition,numeric__recent_service_contact,numeric__phq9_total,numeric__gad7_total,numeric__idate_estado_total,categorical__gender_category_feminino,categorical__gender_category_masculino,categorical__gender_category_outro_ou_nao_informado,categorical__education_fundamental_ou_menos,categorical__education_medio,categorical__education_superior
0,0.14098334,0.114830166,0.04681273,0.005377969,0.02021021,0.65797055,0.0733107,0.100275174,0.27021945,2.0637083,1.0562762,1.9617302,0.0066011604,0.042371735,0.00080350315,0.021820957,0.01226237,0.15314683
1,0.46953037,0.32755023,0.012982638,0.018778063,0.025449565,0.36086893,0.08090152,0.09246854,0.18408611,1.8512971,2.2246382,0.5363028,0.014242478,0.08148153,0.0011538662,0.04905957,0.026984818,0.020842545
2,0.42986545,0.3808713,0.05977823,0.016733656,0.020056725,0.42301953,0.10148464,0.1560584,0.19319028,1.303211,1.1781479,1.1358085,0.0021428966,0.0353088,0.0011027383,0.016406165,0.038352866,0.019889038
3,0.08184204,0.20617086,0.008808476,0.026380457,0.018170761,0.13454019,0.052145462,0.055499732,0.103862405,2.1066587,1.7947233,2.262606,0.012493468,0.04808331,0.00055429846,0.016734866,0.038370706,0.021960586
4,0.44751573,1.0800269,0.111932784,0.041572407,0.03896144,0.4279307,0.08110913,0.13494919,0.08880417,1.1227789,0.5434947,1.070229,0.018012464,0.02498982,0.0010344227,0.051791865,0.012715074,0.06216071
5,0.20440069,0.59628856,0.05278327,0.0040410277,0.03747502,0.56145436,0.12037169,0.13946715,0.07452341,1.0486327,1.9177287,0.5795533,0.009382309,0.09058268,0.0011528699,0.051031657,0.036133666,0.030222747
6,0.3094437,0.30943027,0.02134818,0.025894418,0.020082116,0.14365394,0.06614518,0.06456031,0.108090654,1.9491848,1.6017866,2.223371,0.01032904,0.045474626,0.00055429846,0.021799464,0.020654958,0.16265893
7,0.37648585,0.4562082,0.02559754,0.0056781764,0.036777884,0.22288227,0.1232311,0.17259948,0.28691125,0.8223077,0.05318965,1.557265,0.021782031,0.06285599,0.00082974846,0.024333268,0.039559416,0.031539008
8,0.73133326,0.17206846,0.091159314,0.106825784,0.020542804,0.81529194,0.07804355,0.08341541,0.14789018,1.0580416,0.8008263,0.85423756,0.011844113,0.050671354,0.0009647823,0.01589785,0.080826245,0.045648776
9,0.38205624,0.41226792,0.10261585,0.044095777,0.013439475,0.55181605,0.050937053,0.13572037,0.08186797,1.2424954,0.3120804,0.42345953,0.028379982,0.05381147,0.0021049918,0.007971736,0.07566942,0.045448106
