feature,coefficient,abs_coefficient
numeric__marker_sintomas_psicoticos_severity_code,1.8373871673789293,1.8373871673789293
numeric__marker_comprometimento_funcional_severity_code,1.5877007014744802,1.5877007014744802
numeric__marker_risco_violencia_severity_code,1.4329219983927504,1.4329219983927504
numeric__marker_risco_violencia_present,1.432921674486493,1.432921674486493
categorical__marker_comprometimento_funcional_severity_leve,-1.0322948666964422,1.0322948666964422
categorical__marker_sintomas_psicoticos_severity_moderado,-1.005520740534215,1.005520740534215
numeric__gad7_total,0.9901674393282778,0.9901674393282778
numeric__marker_planejamento_suicida_severity_code,0.9502496218229372,0.9502496218229372
numeric__marker_planejamento_suicida_present,0.9502492625315696,0.9502492625315696
categorical__marker_sintomas_psicoticos_severity_alto,0.8910902075744199,0.8910902075744199
numeric__marker_sintomas_psicoticos_present,-0.7569492691564209,0.7569492691564209
numeric__marker_suporte_social_baixo_severity_code,0.7022933003833806,0.7022933003833806
numeric__marker_suporte_social_baixo_present,0.7022923177219276,0.7022923177219276
categorical__marker_comprometimento_funcional_certainty_afirmado,0.6882175814385256,0.6882175814385256
categorical__marker_comprometimento_funcional_certainty_incerto,-0.6846051231428417,0.6846051231428417
numeric__idate_estado_total,0.642987968783639,0.642987968783639
numeric__phq9_total,0.6035689342392881,0.6035689342392881
categorical__marker_comprometimento_funcional_severity_importante,0.5407140470909643,0.5407140470909643
categorical__marker_comprometimento_funcional_severity_moderado,0.513267215268242,0.513267215268242
categorical__marker_suporte_social_baixo_certainty_afirmado,0.49427538311902963,0.49427538311902963
categorical__marker_suporte_social_baixo_certainty_incerto,-0.49066398130015243,0.49066398130015243
numeric__social_vulnerability,0.44302286631039867,0.44302286631039867
numeric__marker_agravamento_recente_severity_code,0.3906200534499515,0.3906200534499515
numeric__marker_agravamento_recente_present,0.39061935747593235,0.39061935747593235
numeric__poor_housing,0.3757363397949683,0.3757363397949683
categorical__marker_suporte_social_baixo_severity_leve,0.34835712760776866,0.34835712760776866
categorical__marker_suporte_social_baixo_severity_ausente,-0.34474488718565005,0.34474488718565005
categorical__marker_agravamento_recente_certainty_afirmado,0.33586277735503933,0.33586277735503933
categorical__marker_agravamento_recente_certainty_incerto,-0.3322509461855186,0.3322509461855186
categorical__education_medio,-0.306237908076927,0.306237908076927
numeric__food_insecurity,0.27038662107348554,0.27038662107348554
categorical__marker_suporte_social_baixo_temporality_atual,0.2696636018749886,0.2696636018749886
categorical__marker_suporte_social_baixo_temporality_nao_especificado,-0.26605118897294405,0.26605118897294405
categorical__gender_category_outro_ou_nao_informado,0.2547723239899318,0.2547723239899318
numeric__marker_uso_problematico_substancias_severity_code,0.24287650593901464,0.24287650593901464
numeric__marker_uso_problematico_substancias_present,0.24287650186955814,0.24287650186955814
numeric__marker_agravamento_recente_negated,-0.23668820391522763,0.23668820391522763
categorical__marker_risco_violencia_severity_alto,0.223805420524685,0.223805420524685
categorical__marker_risco_violencia_severity_ausente,-0.22019229009609234,0.22019229009609234
categorical__marker_ideacao_suicida_certainty_afirmado,0.21630847660129743,0.21630847660129743
categorical__marker_ideacao_suicida_certainty_incerto,-0.21269602117302083,0.21269602117302083
numeric__marker_autoagressao_iminente_negated,-0.19784379149188766,0.19784379149188766
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.18368125493823537,0.18368125493823537
categorical__marker_uso_problematico_substancias_certainty_incerto,-0.1800701384562366,0.1800701384562366
numeric__marker_autoagressao_iminente_severity_code,0.1782442692328023,0.1782442692328023
numeric__marker_autoagressao_iminente_present,0.1782441806136224,0.1782441806136224
categorical__marker_risco_violencia_temporality_atual,0.17023488898298575,0.17023488898298575
categorical__marker_risco_violencia_temporality_nao_especificado,-0.16662370921163103,0.16662370921163103
categorical__marker_agravamento_recente_severity_moderado,0.1655329472799216,0.1655329472799216
categorical__gender_category_masculino,-0.16521069908629907,0.16521069908629907
numeric__marker_suporte_social_baixo_negated,-0.16358009164552667,0.16358009164552667
numeric__mental_health_history,0.16276092499427958,0.16276092499427958
categorical__marker_agravamento_recente_severity_ausente,-0.16192067562423915,0.16192067562423915
categorical__education_superior,0.1617652315636632,0.1617652315636632
categorical__marker_planejamento_suicida_severity_alto,0.14844710170148612,0.14844710170148612
categorical__education_fundamental_ou_menos,0.14808514303844073,0.14808514303844073
categorical__marker_planejamento_suicida_severity_ausente,-0.14483758908732558,0.14483758908732558
numeric__marker_planejamento_suicida_negated,-0.14165492849356165,0.14165492849356165
numeric__marker_ideacao_suicida_negated,-0.12777157068506934,0.12777157068506934
numeric__age_years,0.12541563040951517,0.12541563040951517
numeric__marker_risco_violencia_negated,-0.11864606612717166,0.11864606612717166
categorical__marker_sintomas_psicoticos_severity_ausente,0.11804303430014901,0.11804303430014901
