feature,mean_abs_shap_highurgent
numeric__phq9_total,0.07838512925594757
numeric__idate_estado_total,0.07628226896987259
numeric__marker_comprometimento_funcional_severity_code,0.06735296339397479
numeric__gad7_total,0.06675856229015117
numeric__marker_risco_violencia_present,0.044236740005719116
categorical__marker_risco_violencia_severity_ausente,0.0428713750834232
numeric__marker_risco_violencia_severity_code,0.042104633467576716
categorical__marker_planejamento_suicida_severity_ausente,0.033233263309151446
numeric__marker_planejamento_suicida_severity_code,0.03225633041277161
categorical__marker_risco_violencia_severity_alto,0.030525098731130212
categorical__marker_planejamento_suicida_severity_alto,0.03004188864907122
numeric__marker_planejamento_suicida_present,0.029727444887189293
categorical__marker_comprometimento_funcional_severity_importante,0.026619811964673938
numeric__social_vulnerability,0.018087794574794508
numeric__marker_agravamento_recente_present,0.015152816796989552
numeric__marker_suporte_social_baixo_severity_code,0.015080578258871968
numeric__marker_suporte_social_baixo_present,0.015050106964958515
categorical__marker_comprometimento_funcional_severity_moderado,0.013637330274801126
numeric__marker_comprometimento_funcional_present,0.013544817361434749
categorical__marker_sintomas_psicoticos_severity_alto,0.013116790747196358
categorical__marker_suporte_social_baixo_severity_leve,0.013100042189385014
numeric__marker_agravamento_recente_severity_code,0.013099669686455673
categorical__marker_comprometimento_funcional_severity_ausente,0.012129363965030612
categorical__marker_suporte_social_baixo_severity_ausente,0.012106476609956635
categorical__marker_sintomas_psicoticos_severity_ausente,0.011278707895729446
numeric__marker_sintomas_psicoticos_severity_code,0.011134525190292562
categorical__marker_agravamento_recente_severity_moderado,0.011121649007744205
categorical__marker_agravamento_recente_severity_ausente,0.011111847293780265
numeric__marker_sintomas_psicoticos_present,0.009064865125079105
categorical__marker_comprometimento_funcional_severity_leve,0.008922546372147157
numeric__marker_agravamento_recente_negated,0.008472723511324226
numeric__marker_planejamento_suicida_negated,0.00844128262414387
categorical__marker_ideacao_suicida_severity_moderado,0.008039650904239764
categorical__marker_ideacao_suicida_severity_ausente,0.00801445616063233
numeric__marker_sintomas_psicoticos_negated,0.00796803417946792
numeric__marker_ideacao_suicida_severity_code,0.007936102909130419
numeric__income_normalized,0.0074560285716659385
numeric__marker_risco_violencia_negated,0.007146224908750351
numeric__food_insecurity,0.006701841360117422
numeric__income_brl,0.005996096273500715
numeric__marker_ideacao_suicida_present,0.0058460540764928084
numeric__poor_housing,0.0058036841155823474
numeric__marker_suporte_social_baixo_negated,0.0056305585127112345
numeric__mental_health_history,0.0052274442392792045
numeric__age_years,0.004787827910613907
numeric__recent_service_contact,0.004315835876570301
categorical__education_fundamental_ou_menos,0.004039242945403717
numeric__marker_comprometimento_funcional_negated,0.003901043842991548
numeric__marker_uso_problematico_substancias_severity_code,0.0033992534258928363
categorical__marker_risco_violencia_temporality_nao_especificado,0.0032819742822187414
categorical__marker_risco_violencia_temporality_atual,0.002847945008002593
categorical__marker_autoagressao_iminente_temporality_atual,0.002779884977516076
categorical__education_medio,0.002760972943066087
numeric__marker_ideacao_suicida_negated,0.002682463712765678
numeric__marker_uso_problematico_substancias_negated,0.0026149620984438305
numeric__chronic_condition,0.0025573259211143957
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0024984906170927535
categorical__marker_uso_problematico_substancias_temporality_atual,0.0023970210243945164
numeric__marker_uso_problematico_substancias_present,0.0023938987538576102
numeric__marker_autoagressao_iminente_negated,0.0023774842707896403
categorical__marker_uso_problematico_substancias_severity_ausente,0.002324243537112287
categorical__marker_sintomas_psicoticos_temporality_atual,0.002274416878125311
numeric__marker_internacao_previa_present,0.002234195721849377
categorical__marker_uso_problematico_substancias_severity_moderado,0.0021957517029658697
categorical__marker_suporte_social_baixo_temporality_atual,0.0021897326121658274
categorical__marker_internacao_previa_severity_ausente,0.0021636989834287338
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.0021294129271999087
categorical__marker_internacao_previa_severity_leve,0.0019218900570785388
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.0018633210170878975
numeric__marker_internacao_previa_negated,0.001855420030224718
categorical__marker_planejamento_suicida_temporality_atual,0.001812855169920836
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.0018100817770016996
categorical__gender_category_feminino,0.0016707909751393906
numeric__marker_internacao_previa_remote_present,0.0015651657693492242
categorical__marker_comprometimento_funcional_certainty_incerto,0.0015035916972080275
categorical__marker_internacao_previa_temporality_nao_especificado,0.0013927345209504226
categorical__marker_ideacao_suicida_temporality_atual,0.0013917333795387757
categorical__marker_internacao_previa_certainty_incerto,0.0013907942452826227
numeric__marker_internacao_previa_severity_code,0.0013841196255592722
categorical__marker_internacao_previa_temporality_remoto,0.0012859523369022734
categorical__marker_suporte_social_baixo_certainty_incerto,0.0012719368574932947
categorical__education_superior,0.0012608980812886766
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.0012207643705164923
categorical__gender_category_masculino,0.0011926859263325232
categorical__marker_autoagressao_iminente_severity_ausente,0.0011804651844649705
numeric__marker_autoagressao_iminente_present,0.0011528324563146429
categorical__marker_comprometimento_funcional_certainty_afirmado,0.0011095184542723555
categorical__marker_comprometimento_funcional_temporality_atual,0.0009820659666298017
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.0009809230650336496
numeric__marker_ideacao_suicida_remote_present,0.0009197058211546363
categorical__gender_category_outro_ou_nao_informado,0.000908189202519504
categorical__marker_internacao_previa_certainty_afirmado,0.0008620664681613414
categorical__marker_suporte_social_baixo_certainty_afirmado,0.0008111695813268913
categorical__marker_agravamento_recente_temporality_atual,0.0008035572681888966
categorical__marker_agravamento_recente_temporality_nao_especificado,0.0007909702008047665
numeric__marker_autoagressao_iminente_severity_code,0.0005724568333540775
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.0005538167826030755
categorical__marker_autoagressao_iminente_severity_alto,0.0005064821885569609
