feature,mean_abs_shap_highurgent
numeric__phq9_total,0.88627756
numeric__gad7_total,0.80094016
numeric__idate_estado_total,0.7507572
numeric__marker_risco_violencia_present,0.69166386
numeric__marker_planejamento_suicida_present,0.66646147
numeric__marker_comprometimento_funcional_severity_code,0.58821094
numeric__social_vulnerability,0.4402937
numeric__marker_suporte_social_baixo_present,0.31787783
numeric__marker_sintomas_psicoticos_severity_code,0.23602033
numeric__marker_agravamento_recente_present,0.17758518
numeric__marker_risco_violencia_severity_code,0.14727923
numeric__marker_planejamento_suicida_severity_code,0.13849422
numeric__income_brl,0.12631346
numeric__marker_sintomas_psicoticos_present,0.1087694
numeric__marker_suporte_social_baixo_negated,0.10871007
numeric__marker_agravamento_recente_negated,0.106235504
numeric__marker_sintomas_psicoticos_negated,0.09209199
categorical__marker_comprometimento_funcional_severity_importante,0.08492787
numeric__marker_risco_violencia_negated,0.076886155
categorical__marker_sintomas_psicoticos_severity_alto,0.05416007
numeric__age_years,0.050147563
numeric__marker_suporte_social_baixo_severity_code,0.049263556
numeric__chronic_condition,0.042930752
numeric__marker_planejamento_suicida_negated,0.04292077
numeric__marker_uso_problematico_substancias_present,0.039418306
numeric__marker_uso_problematico_substancias_negated,0.03452476
categorical__marker_comprometimento_funcional_severity_moderado,0.032614898
numeric__marker_agravamento_recente_severity_code,0.031836756
numeric__marker_ideacao_suicida_present,0.025017401
categorical__marker_planejamento_suicida_severity_alto,0.024054922
numeric__marker_internacao_previa_present,0.022409264
numeric__mental_health_history,0.021272691
numeric__marker_internacao_previa_negated,0.021097858
categorical__marker_comprometimento_funcional_certainty_afirmado,0.019317113
categorical__marker_comprometimento_funcional_severity_leve,0.019102855
categorical__education_fundamental_ou_menos,0.018308086
numeric__income_normalized,0.01677583
numeric__marker_ideacao_suicida_negated,0.014945661
numeric__food_insecurity,0.014880568
categorical__marker_autoagressao_iminente_temporality_atual,0.014373593
categorical__education_medio,0.013981444
categorical__marker_uso_problematico_substancias_temporality_atual,0.013001907
categorical__gender_category_feminino,0.011087639
categorical__marker_ideacao_suicida_temporality_atual,0.0095556555
numeric__marker_internacao_previa_remote_present,0.009425917
categorical__marker_agravamento_recente_severity_ausente,0.008731075
numeric__marker_uso_problematico_substancias_severity_code,0.008729708
categorical__marker_sintomas_psicoticos_temporality_atual,0.008651438
categorical__marker_internacao_previa_temporality_nao_especificado,0.00813046
categorical__marker_risco_violencia_severity_alto,0.0074284473
numeric__marker_comprometimento_funcional_present,0.007159298
categorical__marker_sintomas_psicoticos_severity_ausente,0.00707754
numeric__marker_ideacao_suicida_remote_present,0.00688777
numeric__poor_housing,0.006028313
numeric__recent_service_contact,0.005545794
numeric__marker_autoagressao_iminente_negated,0.0048264395
categorical__gender_category_masculino,0.0047705425
numeric__marker_autoagressao_iminente_present,0.004544033
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0042137206
