feature,coefficient,abs_coefficient
numeric__marker_comprometimento_funcional_severity_code,1.6788330017871365,1.6788330017871365
numeric__marker_risco_violencia_severity_code,1.3476536932994283,1.3476536932994283
numeric__marker_risco_violencia_present,1.3476536873945941,1.3476536873945941
categorical__marker_comprometimento_funcional_severity_leve,-0.9626057610189971,0.9626057610189971
numeric__gad7_total,0.909195460675362,0.909195460675362
numeric__marker_planejamento_suicida_present,0.8858898217877906,0.8858898217877906
numeric__marker_planejamento_suicida_severity_code,0.885888957327518,0.885888957327518
categorical__marker_comprometimento_funcional_severity_importante,0.6929521331182147,0.6929521331182147
numeric__marker_suporte_social_baixo_present,0.649722716554571,0.649722716554571
numeric__marker_suporte_social_baixo_severity_code,0.6497218540710814,0.6497218540710814
numeric__marker_sintomas_psicoticos_present,0.5936874195789379,0.5936874195789379
numeric__marker_sintomas_psicoticos_severity_code,0.593686726184727,0.593686726184727
numeric__idate_estado_total,0.5646500044249644,0.5646500044249644
numeric__phq9_total,0.5032807533010084,0.5032807533010084
numeric__social_vulnerability,0.4187976704437183,0.4187976704437183
categorical__marker_agravamento_recente_certainty_incerto,-0.38223765654140895,0.38223765654140895
categorical__marker_agravamento_recente_certainty_afirmado,0.3799792862507841,0.3799792862507841
numeric__poor_housing,0.3761615396522424,0.3761615396522424
numeric__marker_agravamento_recente_present,0.3658784043536636,0.3658784043536636
numeric__marker_agravamento_recente_severity_code,0.3658778523547141,0.3658778523547141
categorical__marker_suporte_social_baixo_severity_ausente,-0.3221756028551084,0.3221756028551084
categorical__marker_suporte_social_baixo_severity_leve,0.31991835832347604,0.31991835832347604
categorical__education_medio,-0.3003208199242581,0.3003208199242581
categorical__marker_comprometimento_funcional_severity_moderado,0.29220898653450267,0.29220898653450267
numeric__food_insecurity,0.2783048100365846,0.2783048100365846
categorical__gender_category_outro_ou_nao_informado,0.2604560371192124,0.2604560371192124
categorical__marker_suporte_social_baixo_temporality_nao_especificado,-0.24915302038344708,0.24915302038344708
categorical__marker_suporte_social_baixo_temporality_atual,0.24689350723174158,0.24689350723174158
numeric__marker_uso_problematico_substancias_severity_code,0.2325782948341172,0.2325782948341172
numeric__marker_uso_problematico_substancias_present,0.2325778526658715,0.2325778526658715
numeric__marker_agravamento_recente_negated,-0.22155031187202137,0.22155031187202137
categorical__marker_risco_violencia_severity_ausente,-0.21260523730992398,0.21260523730992398
categorical__marker_risco_violencia_severity_leve,0.21034676193475227,0.21034676193475227
categorical__marker_ideacao_suicida_certainty_incerto,-0.20370578277851728,0.20370578277851728
categorical__marker_ideacao_suicida_certainty_afirmado,0.20144694617378286,0.20144694617378286
numeric__marker_autoagressao_iminente_negated,-0.19000876657238586,0.19000876657238586
categorical__education_superior,0.18641312782871622,0.18641312782871622
numeric__marker_autoagressao_iminente_severity_code,0.1822352075697008,0.1822352075697008
numeric__marker_autoagressao_iminente_present,0.18223460863933666,0.18223460863933666
categorical__marker_sintomas_psicoticos_experiencer_terceiro,-0.18024597923645994,0.18024597923645994
categorical__marker_sintomas_psicoticos_experiencer_paciente,0.17798758042827348,0.17798758042827348
categorical__gender_category_masculino,-0.1690265979253072,0.1690265979253072
categorical__marker_uso_problematico_substancias_certainty_incerto,-0.16656389011293637,0.16656389011293637
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.16430589393443604,0.16430589393443604
categorical__marker_risco_violencia_temporality_nao_especificado,-0.16405990124618558,0.16405990124618558
categorical__marker_risco_violencia_temporality_atual,0.16180297958667197,0.16180297958667197
numeric__marker_comprometimento_funcional_negated,0.15977001264206397,0.15977001264206397
categorical__marker_agravamento_recente_severity_ausente,-0.15600175832651794,0.15600175832651794
categorical__marker_agravamento_recente_severity_leve,0.15374339808293924,0.15374339808293924
numeric__marker_suporte_social_baixo_negated,-0.14721202287032156,0.14721202287032156
categorical__marker_planejamento_suicida_severity_ausente,-0.14051218806257448,0.14051218806257448
categorical__marker_planejamento_suicida_severity_leve,0.13825355730732367,0.13825355730732367
numeric__mental_health_history,0.1325260401040604,0.1325260401040604
numeric__age_years,0.1317553300235956,0.1317553300235956
numeric__marker_uso_problematico_substancias_negated,-0.12665113850288282,0.12665113850288282
numeric__marker_planejamento_suicida_negated,-0.11661258178558609,0.11661258178558609
categorical__education_fundamental_ou_menos,0.11165056913798188,0.11165056913798188
numeric__marker_ideacao_suicida_negated,-0.1105804819134978,0.1105804819134978
numeric__marker_risco_violencia_negated,-0.0997073405565395,0.0997073405565395
categorical__marker_uso_problematico_substancias_experiencer_paciente,-0.0965105796501162,0.0965105796501162
categorical__marker_uso_problematico_substancias_experiencer_terceiro,0.09425302835037341,0.09425302835037341
categorical__gender_category_feminino,-0.09368696703600314,0.09368696703600314
categorical__marker_sintomas_psicoticos_severity_ausente,-0.09202358296073887,0.09202358296073887
categorical__marker_sintomas_psicoticos_severity_leve,0.08976621187545629,0.08976621187545629
categorical__marker_planejamento_suicida_temporality_nao_especificado,-0.08588058534811446,0.08588058534811446
