feature,mean_abs_shap_highurgent
numeric__idate_estado_total,0.08239446200605563
numeric__phq9_total,0.079242945637095
numeric__gad7_total,0.07275641245232883
numeric__marker_comprometimento_funcional_severity_code,0.06255318025008424
categorical__marker_risco_violencia_severity_leve,0.04932475907673346
numeric__marker_risco_violencia_severity_code,0.039682604845255515
numeric__marker_planejamento_suicida_severity_code,0.036806707861034155
categorical__marker_planejamento_suicida_severity_ausente,0.03665457717410544
categorical__marker_risco_violencia_severity_ausente,0.036115147201396525
numeric__marker_risco_violencia_present,0.03540292897196541
categorical__marker_planejamento_suicida_severity_leve,0.027835581798474944
numeric__marker_planejamento_suicida_present,0.025239174953106784
numeric__social_vulnerability,0.01915612518271997
categorical__marker_comprometimento_funcional_severity_importante,0.018915555204378563
numeric__marker_comprometimento_funcional_present,0.017981373425282172
categorical__marker_agravamento_recente_severity_ausente,0.016439782457584377
categorical__marker_suporte_social_baixo_severity_leve,0.01425070505615943
categorical__marker_suporte_social_baixo_severity_ausente,0.014185996046696634
categorical__marker_agravamento_recente_severity_leve,0.01390008410284799
numeric__marker_agravamento_recente_present,0.012918314385189828
numeric__marker_suporte_social_baixo_severity_code,0.01263145534680423
categorical__marker_comprometimento_funcional_severity_moderado,0.01217597162582797
numeric__marker_sintomas_psicoticos_present,0.011967987259071746
numeric__marker_suporte_social_baixo_present,0.011259875012885393
categorical__marker_comprometimento_funcional_severity_ausente,0.011239747871682478
categorical__marker_comprometimento_funcional_severity_leve,0.011202838321709017
numeric__marker_agravamento_recente_severity_code,0.011092466914124058
categorical__marker_sintomas_psicoticos_severity_ausente,0.01054486357593273
numeric__marker_risco_violencia_negated,0.010514329400499432
categorical__marker_sintomas_psicoticos_severity_leve,0.010054349920804378
numeric__marker_sintomas_psicoticos_severity_code,0.010043784086601368
categorical__marker_ideacao_suicida_severity_ausente,0.009499849835325458
numeric__marker_planejamento_suicida_negated,0.00925185229810303
numeric__income_normalized,0.007977139793852577
numeric__marker_ideacao_suicida_present,0.007318770547093445
numeric__marker_ideacao_suicida_severity_code,0.00720794234295029
categorical__marker_ideacao_suicida_severity_leve,0.006994748766242641
numeric__marker_suporte_social_baixo_negated,0.0065394489315043075
numeric__poor_housing,0.0064431033293130685
numeric__income_brl,0.006373461199419196
numeric__marker_sintomas_psicoticos_negated,0.006306498193654124
numeric__marker_agravamento_recente_negated,0.006089185276891873
numeric__marker_comprometimento_funcional_negated,0.005347964462202958
numeric__food_insecurity,0.004809477450727398
numeric__recent_service_contact,0.004747355252131338
numeric__mental_health_history,0.004433422030858722
numeric__age_years,0.004149671954599315
numeric__marker_ideacao_suicida_negated,0.00408787802172157
categorical__education_fundamental_ou_menos,0.004033135204957804
categorical__marker_risco_violencia_temporality_nao_especificado,0.003356283123144976
categorical__education_medio,0.003124637656571246
numeric__marker_uso_problematico_substancias_negated,0.0028267079195797937
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.0027991481179009234
categorical__marker_planejamento_suicida_temporality_atual,0.00275896454966509
numeric__chronic_condition,0.00272515509075721
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.0024165634398312687
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0023940505131514306
categorical__marker_uso_problematico_substancias_severity_leve,0.0023806485579147873
numeric__marker_uso_problematico_substancias_severity_code,0.0023289612146967596
categorical__marker_risco_violencia_temporality_atual,0.0023273586094519623
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.002321737823398
categorical__marker_autoagressao_iminente_temporality_atual,0.002318743246357805
