feature,mean_abs_shap_highurgent
numeric__phq9_total,0.8640212
numeric__gad7_total,0.751576
numeric__idate_estado_total,0.7439891
numeric__marker_risco_violencia_present,0.71802247
numeric__marker_comprometimento_funcional_severity_code,0.70327705
numeric__marker_planejamento_suicida_present,0.6323763
numeric__social_vulnerability,0.43309075
numeric__marker_sintomas_psicoticos_present,0.31209463
numeric__marker_suporte_social_baixo_present,0.30834228
numeric__marker_agravamento_recente_present,0.1878861
numeric__marker_planejamento_suicida_severity_code,0.14930375
numeric__marker_risco_violencia_severity_code,0.1383271
numeric__income_brl,0.13695498
numeric__marker_suporte_social_baixo_negated,0.12601373
numeric__marker_agravamento_recente_negated,0.100909546
categorical__marker_comprometimento_funcional_severity_importante,0.09463162
numeric__marker_sintomas_psicoticos_negated,0.08275408
numeric__marker_risco_violencia_negated,0.060979933
numeric__chronic_condition,0.05609446
numeric__marker_planejamento_suicida_negated,0.0554355
numeric__marker_uso_problematico_substancias_negated,0.05247719
numeric__age_years,0.04978218
numeric__marker_uso_problematico_substancias_present,0.048251204
numeric__marker_sintomas_psicoticos_severity_code,0.04783345
categorical__marker_comprometimento_funcional_severity_moderado,0.047668338
numeric__marker_suporte_social_baixo_severity_code,0.04278434
numeric__marker_ideacao_suicida_present,0.03076158
numeric__marker_internacao_previa_present,0.028167194
categorical__marker_comprometimento_funcional_severity_leve,0.026264343
categorical__marker_planejamento_suicida_severity_ausente,0.025562342
numeric__income_normalized,0.021717295
categorical__marker_uso_problematico_substancias_temporality_atual,0.021639658
categorical__education_fundamental_ou_menos,0.01865501
numeric__poor_housing,0.016223885
categorical__marker_risco_violencia_severity_ausente,0.014590551
categorical__marker_autoagressao_iminente_temporality_atual,0.014507775
numeric__marker_agravamento_recente_severity_code,0.013964577
numeric__food_insecurity,0.01372886
categorical__education_medio,0.012223892
categorical__marker_sintomas_psicoticos_temporality_atual,0.011389877
categorical__marker_sintomas_psicoticos_severity_ausente,0.010156559
categorical__marker_agravamento_recente_severity_ausente,0.010116571
numeric__mental_health_history,0.010001789
categorical__marker_ideacao_suicida_temporality_atual,0.009687992
categorical__gender_category_masculino,0.00941068
numeric__marker_comprometimento_funcional_present,0.008428199
numeric__marker_ideacao_suicida_negated,0.0078840535
categorical__marker_sintomas_psicoticos_severity_leve,0.0070851743
numeric__marker_autoagressao_iminente_negated,0.005963294
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.005930681
numeric__marker_uso_problematico_substancias_severity_code,0.0058672167
numeric__marker_ideacao_suicida_remote_present,0.005614114
numeric__marker_ideacao_suicida_severity_code,0.0051931897
categorical__marker_suporte_social_baixo_severity_ausente,0.004587938
numeric__recent_service_contact,0.003538493
categorical__gender_category_feminino,0.003467047
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.0022455493
categorical__marker_uso_problematico_substancias_severity_ausente,0.001646862
categorical__education_superior,0.0016013402
categorical__marker_agravamento_recente_temporality_nao_especificado,0.0014603387
numeric__marker_comprometimento_funcional_negated,0.0012931208
categorical__marker_suporte_social_baixo_temporality_atual,0.0012866725
categorical__marker_agravamento_recente_temporality_atual,0.0011906198
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.00112261
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.0009479799
categorical__marker_risco_violencia_temporality_atual,0.0009299177
categorical__marker_planejamento_suicida_temporality_atual,0.0008934061
numeric__marker_internacao_previa_remote_present,0.0008194805
categorical__marker_internacao_previa_certainty_afirmado,0.00029318983
numeric__marker_internacao_previa_severity_code,0.0
numeric__marker_internacao_previa_negated,0.0
numeric__marker_sintomas_psicoticos_remote_present,0.0
numeric__marker_autoagressao_iminente_remote_present,0.0
numeric__marker_planejamento_suicida_remote_present,0.0
numeric__marker_autoagressao_iminente_present,0.0
numeric__marker_autoagressao_iminente_severity_code,0.0
numeric__marker_risco_violencia_remote_present,0.0
numeric__marker_agravamento_recente_remote_present,0.0
categorical__marker_ideacao_suicida_severity_leve,0.0
categorical__marker_ideacao_suicida_severity_ausente,0.0
categorical__gender_category_outro_ou_nao_informado,0.0
numeric__marker_comprometimento_funcional_remote_present,0.0
numeric__marker_suporte_social_baixo_remote_present,0.0
numeric__marker_uso_problematico_substancias_remote_present,0.0
categorical__marker_planejamento_suicida_severity_leve,0.0
categorical__marker_ideacao_suicida_certainty_incerto,0.0
categorical__marker_autoagressao_iminente_experiencer_paciente,0.0
categorical__marker_autoagressao_iminente_certainty_afirmado,0.0
categorical__marker_autoagressao_iminente_severity_ausente,0.0
categorical__marker_autoagressao_iminente_severity_alto,0.0
categorical__marker_planejamento_suicida_experiencer_paciente,0.0
categorical__marker_planejamento_suicida_certainty_afirmado,0.0
categorical__marker_ideacao_suicida_experiencer_paciente,0.0
categorical__marker_ideacao_suicida_certainty_afirmado,0.0
categorical__marker_sintomas_psicoticos_experiencer_terceiro,0.0
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.0
categorical__marker_sintomas_psicoticos_certainty_incerto,0.0
categorical__marker_sintomas_psicoticos_experiencer_paciente,0.0
categorical__marker_risco_violencia_certainty_afirmado,0.0
categorical__marker_risco_violencia_severity_leve,0.0
categorical__marker_risco_violencia_experiencer_paciente,0.0
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.0
categorical__marker_risco_violencia_temporality_nao_especificado,0.0
categorical__marker_internacao_previa_severity_ausente,0.0
categorical__marker_internacao_previa_temporality_nao_especificado,0.0
categorical__marker_internacao_previa_temporality_remoto,0.0
categorical__marker_uso_problematico_substancias_severity_leve,0.0
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.0
categorical__marker_uso_problematico_substancias_certainty_incerto,0.0
categorical__marker_uso_problematico_substancias_experiencer_paciente,0.0
categorical__marker_agravamento_recente_severity_leve,0.0
categorical__marker_internacao_previa_severity_leve,0.0
categorical__marker_internacao_previa_certainty_incerto,0.0
categorical__marker_internacao_previa_experiencer_paciente,0.0
categorical__marker_uso_problematico_substancias_experiencer_terceiro,0.0
categorical__marker_agravamento_recente_experiencer_paciente,0.0
categorical__marker_agravamento_recente_certainty_incerto,0.0
categorical__marker_agravamento_recente_certainty_afirmado,0.0
categorical__marker_suporte_social_baixo_certainty_afirmado,0.0
categorical__marker_suporte_social_baixo_severity_leve,0.0
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.0
categorical__marker_suporte_social_baixo_experiencer_paciente,0.0
categorical__marker_comprometimento_funcional_severity_ausente,0.0
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.0
categorical__marker_comprometimento_funcional_certainty_afirmado,0.0
categorical__marker_comprometimento_funcional_experiencer_paciente,0.0
